game,outcome,end_reason,n_moves,loss,steps,timestamp,moves
1,W,value_resign,25,0.196232,5,2026-09-02 02:51:00,e2e3 d7d5 f2f4 g7g5 g2g3 c8d7 a2a3 d5d4 h2h3 b7b5 h1h2 h7h6 f4g5 e7e6 b2b4 d8g5 e3d4 g5f4 g3f4 g8e7 f1d3 e7d5 c2c4 c7c5 e1f2
2,W,value_resign,36,0.203096,10,2026-09-02 02:53:15,b1c3 c7c6 g2g3 f7f5 d2d3 h7h6 g3g4 e7e6 d3d4 f8b4 c1d2 d8e7 d2h6 g7g6 h6f8 e7g7 f8g7 d7d5 e1d2 b4c3 b2c3 g8f6 e2e3 f6e4 d2d3 a7a5 g4g5 h8h7 g7e5 b7b5 a2a3 e8f7 e5d6 c8b7 a1b1 b8d7
3,B,value_resign,37,0.278164,15,2026-09-02 02:53:29,a2a3 a7a5 f2f3 b7b5 c2c4 f7f5 h2h3 d7d5 f3f4 h7h5 d1c2 g8f6 d2d4 c8d7 c2d3 f6h7 d3f3 h7f6 g2g3 b8c6 f3h5 f6h5 g3g4 c6d4 h1h2 c7c5 e2e3 h8g8 b1d2 d4b3 g4h5 b3a1 c4b5 a8b8 f1c4 e8f7 c4d5
4,B,value_resign,42,0.162039,20,2026-09-02 02:54:32,e2e3 d7d5 f2f4 h7h5 e3e4 d5d4 e1e2 g8h6 a2a4 c8e6 a4a5 a7a6 e4e5 h8g8 d1e1 e6d7 f4f5 c7c6 e5e6 h5h4 b2b4 c6c5 c1b2 c5b4 e6d7 d8d7 g1h3 d7d5 g2g3 e7e5 f5f6 d5h1 f1g2 h1g2 h3f2 g7g5 e1f1 g2f1 e2f1 g5g4 d2d3 h4g3
5,W,value_resign,45,0.209368,25,2026-09-02 02:55:11,a2a4 b7b6 g1h3 d7d6 a4a5 c7c5 h3g5 f7f6 b2b3 b8c6 h1g1 d6d5 e2e3 c6d4 f2f4 h7h5 f1b5 c8d7 b5c6 d4f3 e1f1 d7c6 g5e6 d8b8 e3e4 e8f7 g2f3 h5h4 f4f5 g7g6 e4d5 c6d5 e6f8 b6a5 f8d7 b8c8 f5g6 f7e6 g6g7 c8d7 g7h8q d7d6 f1e2 a7a6 g1e1
6,W,value_resign,49,0.195684,30,2026-09-02 02:56:01,b2b4 b8a6 b1a3 b7b5 f2f4 h7h6 d2d4 c7c5 c1d2 c5d4 g1h3 g8f6 f4f5 d7d5 a1b1 a8b8 a3b5 b8b5 a2a4 d4d3 a4b5 d3e2 f1e2 h8h7 b5a6 c8d7 d2c1 d7c8 c1g5 h6g5 c2c4 c8a6 b4b5 a6b5 c4b5 g5g4 h3f4 d8b6 b1c1 e7e5 f5e6 f8b4 e1f1 b6c7 c1c7 e8d8 d1c1 h7h6 c1d2
7,B,value_resign,50,0.180157,35,2026-09-02 02:56:14,e2e3 a7a5 g1f3 g8h6 f1b5 g7g5 e1g1 f7f6 d2d4 c7c6 h2h3 c6b5 d1d2 g5g4 f3h2 h6f7 b2b3 f8h6 d2e2 e7e6 c1a3 h6g7 h3g4 b7b6 g4g5 f6g5 a3b2 e8g8 b1a3 a5a4 f2f4 d8e7 c2c3 b5b4 c3b4 a4b3 a2b3 c8b7 a3b5 g5f4 a1a8 b7a8 b5c7 f4e3 c7e6 d7e6 b2c3 b6b5 f1a1 g8h8
8,W,value_resign,51,0.224988,40,2026-09-02 02:56:26,a2a4 b7b6 g1h3 h7h6 b2b4 f7f5 h3g1 a7a6 b1c3 b6b5 c3b1 b5a4 h2h4 g8f6 g1h3 h8h7 h4h5 d7d5 d2d3 c7c6 a1a3 c8d7 c1d2 f6h5 a3a4 g7g5 d2c3 e7e6 h1h2 a8a7 d3d4 d8f6 a4a5 g5g4 h3f4 f6e7 h2h5 a7b7 b1d2 e8d8 a5a3 h7g7 d1b1 g7g6 f4g6 d8e8 g6e7 b7a7 b1a1 a7a8 a1a2
9,W,checkmate,7,0.143825,45,2026-09-02 02:56:39,g2g3 c7c6 e2e3 g7g5 f2f4 f7f6 d1h5
10,W,value_resign,53,0.198603,50,2026-09-02 02:56:51,g2g3 h7h6 g3g4 e7e6 e2e3 f7f6 d2d3 a7a5 b1c3 f8e7 c3d5 e7a3 e1e2 a8a6 d3d4 a3e7 d5e7 g8e7 e3e4 g7g6 h2h4 b8c6 b2b3 e8f7 e4e5 f6e5 d4e5 d7d5 a2a3 h6h5 f2f3 h5g4 f1g2 g4f3 g1f3 e7f5 c1g5 d8e8 c2c3 a6a7 g2h3 f5h4 f3h4 h8h4 g5h4 f7g8 b3b4 e8e7 h4e7 c6b4 a3b4 c7c6 d1c1
11,W,value_resign,57,0.154438,55,2026-09-02 02:57:41,e2e3 d7d5 e1e2 h7h5 e3e4 b7b6 e4d5 e7e6 d5e6 d8e7 b2b3 e7e6 e2d3 h8h7 a2a3 a7a5 d3d4 b6b5 d1h5 a5a4 h5h7 b5b4 a3b4 g8f6 c1a3 f6h7 a3b2 f7f6 b4b5 b8d7 b3a4 g7g5 g1f3 a8b8 d4d3 g5g4 f3d4 e6e7 d3c3 c8b7 h2h3 e7d8 d4e6 c7c5 e6d8 g4h3 d2d3 e8d8 h1h3 b8a8 h3h7 a8b8 b1a3 f8h6 f2f4 b8c8 c3c4
12,B,value_resign,60,0.195967,60,2026-09-02 02:58:18,a2a3 c7c6 b2b3 f7f6 d2d3 b7b6 a1a2 c6c5 d3d4 b6b5 e2e3 b8a6 g1e2 c5d4 e1d2 e7e5 e3d4 e5d4 a3a4 a8b8 a4b5 b8b5 e2d4 h7h6 a2a6 c8a6 c2c4 b5b6 d4e2 b6b7 h1g1 g8e7 b1a3 g7g5 a3c2 b7b8 c1b2 d7d5 b2f6 d5c4 c2d4 c4b3 f6h8 e7g6 d2c3 g6h8 d4e6 d8d1 e6f8 b8a8 c3b4 h8f7 f2f3 e8f8 e2c3 d1d8 c3d5 a8b8 f1b5 a6b5
13,W,value_resign,61,0.150830,65,2026-09-02 02:58:31,a2a4 b8c6 e2e3 e7e6 b2b4 c6d4 a4a5 f7f5 f1e2 e6e5 h2h4 d8e7 g2g3 g7g5 a1a3 g5g4 c1b2 e8f7 b2c3 h7h5 f2f4 f8g7 c3d4 e5d4 e2c4 f7f8 e1e2 c7c6 c4g8 e7e3 d2e3 b7b6 d1d2 f8g8 b4b5 b6a5 e2f1 c6b5 f1e1 a8b8 d2a5 b5b4 a3a1 b4b3 c2b3 b8b5 a5b5 c8b7 b1d2 b7d5 b5d5 g8f8 d5c4 a7a6 e1d1 f8e7 c4f1 g7e5 f1g2 d7d5 b3b4
14,B,value_resign,62,0.156547,70,2026-09-02 02:58:43,b2b4 a7a5 g1f3 h7h6 b1a3 a5a4 f3e5 g7g5 b4b5 b7b6 a1b1 g5g4 e5c6 b8c6 d2d3 c6d4 c2c4 e7e6 h2h3 f8e7 c1e3 g8f6 e3d2 g4h3 a3c2 f6g4 h1h3 g4f2 c2d4 f2h3 e2e3 f7f6 g2h3 e8f8 d1e2 h6h5 b1d1 a4a3 d4c2 h5h4 d3d4 c8b7 c2a3 a8a3 d2c1 a3a5 d1d2 e7b4 a2a3 b4c3 e1d1 c3d2 c1d2 f8e7 d2a5 b6a5 d1e1 a5a4 c4c5 b7e4 b5b6 e4f3
