game,moves
1,e2e3 d7d5 f2f4 g7g5 g2g3 c8d7 a2a3 d5d4 h2h3 b7b5 h1h2 h7h6
2,b1c3 c7c6 g2g3 f7f5 d2d3 h7h6 g3g4 e7e6 d3d4 f8b4 c1d2 d8e7
3,a2a3 a7a5 f2f3 b7b5 c2c4 f7f5 h2h3 d7d5 f3f4 h7h5 d1c2 g8f6
4,e2e3 d7d5 f2f4 h7h5 e3e4 d5d4 e1e2 g8h6 a2a4 c8e6 a4a5 a7a6
5,a2a4 b7b6 g1h3 d7d6 a4a5 c7c5 h3g5 f7f6 b2b3 b8c6 h1g1 d6d5
6,b2b4 b8a6 b1a3 b7b5 f2f4 h7h6 d2d4 c7c5 c1d2 c5d4 g1h3 g8f6
7,e2e3 a7a5 g1f3 g8h6 f1b5 g7g5 e1g1 f7f6 d2d4 c7c6 h2h3 c6b5
8,a2a4 b7b6 g1h3 h7h6 b2b4 f7f5 h3g1 a7a6 b1c3 b6b5 c3b1 b5a4
9,g2g3 c7c6 e2e3 g7g5 f2f4 f7f6 d1h5
10,g2g3 h7h6 g3g4 e7e6 e2e3 f7f6 d2d3 a7a5 b1c3 f8e7 c3d5 e7a3
11,e2e3 d7d5 e1e2 h7h5 e3e4 b7b6 e4d5 e7e6 d5e6 d8e7 b2b3 e7e6
12,a2a3 c7c6 b2b3 f7f6 d2d3 b7b6 a1a2 c6c5 d3d4 b6b5 e2e3 b8a6
13,a2a4 b8c6 e2e3 e7e6 b2b4 c6d4 a4a5 f7f5 f1e2 e6e5 h2h4 d8e7
14,b2b4 a7a5 g1f3 h7h6 b1a3 a5a4 f3e5 g7g5 b4b5 b7b6 a1b1 g5g4
15,a2a4 e7e6 g1h3 h7h6 d2d3 c7c6 b2b3 a7a6 a1a3 f8b4 c1d2 f7f6
16,e2e3 g7g6 a2a4 d7d5 e1e2 a7a6 b2b4 d5d4 e3d4 e7e5 d4e5 f8b4
17,b2b4 b7b6 a2a4 f7f5 b1a3 b8c6 d2d3 c6d4 e2e3 b6b5 a4b5 e7e5
18,b2b4 b7b6 a2a4 f7f5 a1a3 d7d6 b4b5 b8c6 b5c6 e7e5 c1b2 e8f7
19,a2a3 c7c6 g1f3 f7f6 d2d3 f6f5 g2g3 d7d6 e2e3 e8d7 f3g1 a7a6
20,a2a4 e7e6 g1h3 f8b4 e2e3 a7a6 b1c3 b4c3 g2g3 c3b4 c2c3 a6a5
21,e2e3 d7d5 f2f4 h7h5 g1e2 h8h6 e3e4 h5h4 a2a3 c8g4 b2b3 h6h8
22,a2a3 c7c6 e2e4 f7f6 g1e2 d8b6 e4e5 d7d6 e5f6 e7f6 f2f4 a7a6
23,e2e3 g7g6 e1e2 g8h6 h2h4 h8g8 e3e4 d7d5 e4e5 f8g7 h4h5 a7a6
24,e2e4 b8c6 g2g4 g8h6 a2a4 a7a5 d2d3 d7d6 a1a3 a8b8 f2f3 f7f6
25,a2a3 h7h5 b2b3 g7g6 e2e4 f7f5 f1a6 g6g5 d2d3 b7a6 f2f3 h5h4
26,a2a3 b7b5 c2c4 a7a6 a3a4 e7e5 h2h4 b5a4 h4h5 c8b7 c4c5 g7g6
27,a2a3 a7a5 d2d4 b7b5 d4d5 a5a4 g2g3 a8a6 e2e4 e7e6 f1b5 c8b7
28,a2a4 e7e6 f2f4 h7h6 e2e3 f7f6 b2b4 c7c6 a4a5 h8h7 e1e2 f8b4
29,e2e4 b8c6 g2g4 g8h6 a2a4 g7g6 d2d3 h8g8 c1g5 a7a5 f1e2 a8b8
30,a2a4 e7e6 e2e3 e6e5 g2g3 g7g6 g1h3 f8h6 f2f3 f7f6 f1e2 e5e4
31,e2e3 g7g6 a2a4 g8h6 f2f3 h8g8 e3e4 f7f5 b1c3 a7a5 d2d3 c7c5
32,e2e3 d7d5 e1e2 b7b6 a2a3 c7c6 b2b4 f7f6 h2h4 e8d7 g1f3 h7h5
33,a2a3 b8c6 d2d3 g7g6 c2c4 a7a6 h2h3 d7d5 f2f4 c6d4 e2e3 g8h6
34,a2a3 a7a5 g2g3 a8a7 d2d4 a5a4 e2e4 c7c5 b1d2 c5c4 f2f3 b7b5
35,b1c3 c7c6 g2g3 f7f6 d2d3 b8a6 a2a3 h7h6 b2b3 e8f7 h2h3 b7b5
36,g2g4 a7a5 f2f4 c7c6 b1c3 d7d6 b2b3 a5a4 e1f2 b8a6 a2a3 e7e6
37,b1c3 c7c6 g2g3 b7b6 d2d3 e7e6 e1d2 e8e7 f2f4 f7f5 g3g4 b8a6
38,e2e3 g8h6 f2f3 g7g6 e3e4 e7e5 b2b3 a7a6 g1e2 f7f6 c2c3 b8c6
39,b2b3 f7f6 d2d4 c7c6 g2g4 h7h5 a2a4 g7g5 a1a3 d8a5 c2c3 d7d6
40,f2f4 a7a5 d2d4 b8c6 g2g4 g8h6 b2b4 c6d4 c1d2 a5b4 f1h3 d4c2
41,a2a4 f7f6 b2b4 a7a5 d2d4 a5b4 c1h6 a8a6 e1d2 g7g5 f2f4 c7c5
42,e2e3 h7h6 g2g4 e7e5 b1c3 f8d6 f1c4 c7c5 e1e2 g8f6 g4g5 f6g8
43,c2c3 e7e5 c3c4 g8e7 g1h3 d7d5 b1c3 b7b6 h3f4 e5e4 d2d3 e8d7
44,a2a3 c7c5 e2e4 f7f6 d2d4 e7e5 g2g3 g7g6 c2c3 c5d4 f2f3 g8h6
45,e2e3 g7g6 a2a4 g8h6 g1h3 c7c5 b2b4 a7a6 d2d4 f7f5 e1d2 c5b4
46,a2a3 a7a6 b1c3 g7g6 g2g4 e7e6 f2f3 f7f5 g1h3 f8h6 d2d3 b7b5
47,g2g3 b7b6 h2h4 f7f6 a2a4 b8a6 a4a5 b6b5 g1h3 b5b4 c2c4 g8h6
48,e2e3 b7b5 h2h3 a7a5 c2c3 b5b4 g1e2 c8a6 f2f4 h7h5 e3e4 g8h6
49,b1c3 c7c6 g2g4 b7b6 c3d5 f7f6 h2h3 e8f7 b2b3 b6b5 e2e3 f6f5
50,e2e3 a7a5 d2d3 c7c6 a2a4 d8b6 g2g3 h7h6 a1a3 h8h7 g3g4 e8d8
51,a2a3 g7g5 a3a4 b8c6 f2f4 c6d4 c2c4 h7h6 f4f5 g5g4 e2e4 d4f5
52,a2a3 b8c6 c2c3 g7g6 f2f4 e7e6 d2d3 c6d4 c3c4 g8e7 h2h4 a7a6
53,h2h4 f7f6 g2g3 g8h6 d2d4 b8a6 e1d2 a8b8 a2a3 b7b6 b2b3 a6b4
54,a2a3 c7c6 g2g3 b7b6 e2e3 f7f6 d2d3 h7h6 d1h5 g7g6 h5g6
55,b2b3 b7b6 g1h3 c7c6 d2d3 d7d6 g2g3 f7f6 a2a4 e8d7 h1g1 h7h5
56,a2a3 c7c6 d2d3 f7f6 g2g3 b7b5 e2e3 b5b4 d1e2 d7d5 a3b4 e8d7
57,e2e3 f7f6 h2h3 b7b6 f2f4 a7a6 e3e4 e7e6 f4f5 e6e5 g2g4 f8c5
58,a2a3 c7c5 c2c3 f7f6 a3a4 h7h6 f2f4 g7g6 d2d4 d7d5 e1f2 c5d4
59,a2a4 b7b6 g2g4 f7f6 b2b4 f6f5 g1h3 b8c6 a4a5 g8f6 a1a3 e8f7
60,f2f3 f7f5 b2b4 b7b6 e1f2 b8c6 c2c3 e8f7 e2e4 c6b8 f1e2 b8a6
