game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,31,19,0,0.184363,54.2,1,13,19,12,5,250,2026-09-02 03:27:48
100,24,26,0,0.230734,63.5,2,10,11,13,14,500,2026-09-02 04:13:45
150,25,25,0,0.296961,66.1,2,4,15,18,11,750,2026-09-02 04:59:18
200,25,25,0,0.361031,59.9,3,10,12,16,9,1000,2026-09-02 05:41:10
250,34,16,0,0.411940,58.1,1,9,18,15,7,1250,2026-09-02 06:17:14
300,22,27,1,0.449146,57.7,1,12,16,11,10,1500,2026-09-02 06:56:52
350,27,23,0,0.491453,63.0,2,12,12,12,12,1750,2026-09-02 07:39:38
400,20,30,0,0.535307,59.6,1,8,19,14,8,2000,2026-09-02 08:22:50
450,26,24,0,0.564338,63.8,3,10,15,9,13,2250,2026-09-02 09:10:03
500,26,24,0,0.608196,59.8,2,8,16,15,9,2500,2026-09-02 10:22:06
550,26,24,0,0.632720,58.4,4,6,15,18,7,2750,2026-09-02 11:15:00
600,27,22,1,0.680025,61.6,1,10,14,17,8,3000,2026-09-02 12:13:59
650,17,33,0,0.705221,62.7,1,10,16,10,13,3250,2026-09-02 13:06:12
700,24,26,0,0.732487,62.8,3,7,14,13,13,3500,2026-09-02 14:14:40
