game,start,w_wins,b_move,missing_queen,timestamp
200,+0.1068,+0.9978,-0.9960,-0.9900,2026-09-02 05:41:10
400,+0.0517,+0.9748,-0.9748,-0.7201,2026-09-02 08:22:51
600,+0.0496,+0.9632,-0.9894,-0.9806,2026-09-02 12:14:00
800,+0.0800,+0.9748,-0.9961,-0.2964,2026-09-03 03:01:10
1000,+0.0683,+0.9989,-0.9957,-0.9497,2026-09-03 06:06:30
