game,moves
1,b2b4 h7h6 g1h3 c7c6 c1a3 d7d5 d2d4 c6c5 a3c1 d8c7 b1a3 c5d4
2,b1a3 b8a6 f2f3 a6b8 h2h4 c7c6 a3c4 g8f6 c4d6 e7d6 d2d3 h7h6
3,b1c3 h7h6 f2f3 b8c6 h2h4 d7d6 h1h2 g7g5 c3b1 g5g4 d2d3 h6h5
4,g1h3 b7b5 f2f3 c8b7 d2d3 g7g5 h3g1 b7e4 e1f2 e7e5 b1d2 g8e7
5,h2h4 e7e6 a2a4 c7c6 g1h3 g8e7 e2e4 h7h6 g2g4 f7f5 h1h2 e7d5
6,g2g3 c7c6 g1f3 f7f5 b1a3 d8a5 b2b4 a7a6 d2d3 b7b6 f3g1 h7h5
7,f2f4 h7h6 c2c4 h8h7 a2a3 g7g6 d1c2 h6h5 c2f5 f7f6 f5h3 e7e6
8,b2b3 b7b6 g1h3 d7d5 d2d4 c8d7 c1f4 f7f6 f4d2 c7c6 f2f4 h7h5
9,f2f3 h7h6 a2a4 a7a5 h2h3 g7g6 b2b3 c7c5 c1a3 f7f5 d2d3 g8f6
10,b2b3 b8a6 e2e3 a6c5 a2a4 f7f5 d1f3 c5a4 b1a3 b7b5 d2d3 d7d6
11,a2a4 e7e6 d2d4 f8a3 a4a5 b7b5 a1a3 c8b7 g1h3 h7h6 a3a2 d7d6
12,e2e4 c7c6 g1f3 h7h5 b2b3 f7f6 f3g5 h8h6 e4e5 a7a6 d1g4 h5g4
13,h2h4 f7f5 c2c3 e7e6 d1c2 f8e7 h4h5 e6e5 h1h2 g8f6 c2b3 h7h6
14,h2h4 b7b5 b2b3 c8b7 a2a4 e7e5 e2e4 f8d6 f2f4 d8h4 g2g3 c7c6
15,g1f3 g7g6 a2a3 f8g7 e2e4 g6g5 f1b5 e7e5 e1g1 e8e7 f1e1 g8f6
16,b2b4 a7a6 g1h3 c7c6 h1g1 h7h6 b4b5 a8a7 c1a3 b7b6 e2e4 h8h7
17,b2b4 a7a5 f2f4 a8a6 e1f2 f7f6 f2e3 a5a4 d1e1 e7e6 a2a3 e8f7
18,h2h4 b7b5 g2g3 a7a5 h1h3 e7e5 a2a4 e8e7 f2f3 b5b4 f1g2 g7g6
19,b2b4 b7b5 g2g3 c8a6 f2f4 f7f5 e1f2 b8c6 f2e3 c6b8 a2a4 e7e5
20,b2b4 b7b5 g1h3 a7a6 h1g1 g7g6 f2f4 f8g7 e2e3 e8f8 f1c4 d8e8
21,b2b4 a7a5 a2a4 c7c6 g2g3 a8a7 g3g4 h7h5 f2f4 f7f5 e1f2 h8h7
22,b2b4 b7b5 c1a3 f7f5 g2g3 a7a5 f2f4 h7h5 e1f2 e8f7 f1h3 g8f6
23,b2b4 b7b5 a2a3 f7f6 c1b2 f6f5 h2h4 a7a5 g2g3 g7g6 c2c4 g6g5
24,b2b4 b7b5 f2f4 f7f5 a2a4 e8f7 g2g4 a7a5 e2e4 f7e6 f1e2 g8f6
25,b2b4 b7b5 f2f4 f7f5 e1f2 e8f7 d1e1 g8h6 f2e3 c8b7 c1a3 d7d6
26,b2b4 b7b5 h2h4 f7f5 f2f4 g8f6 g2g3 e8f7 e1f2 g7g6 c1b2 c8b7
