game,moves
1,g2g3 h7h5 d2d3 b7b5 b1a3 e7e6 b2b4 g7g6 e2e3 b8c6 c1d2 c6d4
2,b1a3 g7g5 c2c4 h7h5 d2d4 b8c6 g1h3 b7b5 d1b3 f7f6 h3f4 h8h7
3,b1a3 e7e6 h2h4 d8f6 d2d3 f6h6 h1h2 b7b5 c1h6 e8e7 b2b3 f7f6
4,b2b4 e7e5 c2c3 f7f5 d1a4 b7b5 g1f3 f8b4 h1g1 d7d5 g2g4 b8c6
5,h2h4 b7b5 b2b3 g7g5 b1a3 h7h5 c2c3 h8h7 g1f3 b5b4 a3b1 e7e5
6,e2e3 g8h6 g1f3 h6f5 f1d3 g7g5 b2b3 f5g3 c2c3 g3e4 d1c2 h7h5
7,b1c3 f7f6 d2d3 f6f5 g1f3 g7g5 g2g3 b8c6 f3e5 h7h6 f2f3 e7e6
8,f2f4 e7e5 g1f3 d7d5 b1c3 b8c6 f3e5 c6e7 e5f7 d5d4 a2a3 g7g5
9,g1f3 e7e6 h2h3 e8e7 h1h2 c7c6 e2e4 f7f6 c2c4 d7d6 e1e2 f6f5
10,g1f3 f7f6 c2c3 g7g5 f3h4 g5h4 d1a4 h7h5 d2d3 c7c5 d3d4 b8c6
11,e2e4 h7h5 b1c3 d7d6 f2f3 g7g5 f1e2 f8g7 a2a4 h8h7 d2d4 b7b5
12,g1f3 g7g5 c2c3 e7e5 d2d3 e8e7 f3g1 h7h5 d3d4 d7d5 e1d2 a7a6
13,g1f3 a7a5 a2a4 c7c5 f3e5 g8h6 g2g4 b7b6 e5c4 h6f5 b1c3 c8b7
14,g1f3 g7g5 e2e3 e7e6 b1c3 f8g7 f3g5 b7b6 b2b3 g8e7 g5e6 f7f6
15,c2c3 g7g5 g1f3 e7e6 h1g1 e8e7 d1a4 b7b5 e2e4 f7f5 e1e2 c7c5
16,g2g4 f7f5 a2a4 a7a6 c2c4 c7c6 e2e3 b7b5 f1h3 g7g5 e1f1 e8f7
17,c2c3 g7g5 g1h3 b8c6 h3f4 f7f5 d1b3 a8b8 h1g1 a7a6 h2h4 h7h5
18,g2g4 g7g5 b1c3 b8c6 g1h3 b7b5 f2f4 c6d4 e2e4 f8g7 b2b4 a7a6
