game,moves
1,f2f4 g8h6 f4f5 a7a5 e2e4 e7e6 e1e2 b8c6 c2c3 e6f5 h2h4 d8e7
2,h2h4 b7b6 a2a4 g8h6 g2g4 h6g4 h1h3 d7d6 e2e3 d8d7 b2b4 g7g6
3,a2a4 g7g6 e2e3 g8f6 g1h3 e7e5 b1c3 a7a5 e1e2 b7b6 h3f4 e5f4
4,a2a3 b8a6 g2g4 g8h6 d2d4 h6g4 f2f3 f7f5 e1d2 a6b4 a3b4 b7b5
5,e2e4 b8a6 d1f3 b7b5 d2d3 c7c6 g1h3 b5b4 h1g1 f7f6 h3g5 g8h6
6,e2e3 a7a5 f2f4 a8a6 g2g3 a5a4 d1f3 d7d6 e3e4 c8g4 f3g4 h7h5
7,a2a3 b8a6 f2f3 d7d5 d2d4 a8b8 e2e4 b7b5 e1e2 c7c5 c2c3 d8c7
8,e2e4 b8c6 g2g4 g8h6 a2a4 h6g4 d1e2 c6d4 e2g4 h8g8 e1d1 d4c2
9,a2a3 b8a6 a3a4 d7d6 c2c3 g7g5 f2f3 e8d7 c3c4 f7f6 h2h4 b7b6
10,b2b4 a7a6 g1f3 a6a5 b1a3 h7h5 b4a5 h5h4 c2c3 a8a6 f3h4 c7c5
11,h2h4 c7c6 h4h5 b7b5 a2a4 f7f6 g2g3 e7e5 d2d3 d8e7 a4b5 c6b5
12,e2e3 e7e5 f1c4 c7c5 e1e2 a7a6 c2c3 a8a7 b2b4 e5e4 g2g4 b7b6
13,h2h4 b7b6 b2b3 g7g6 e2e4 f8g7 d2d4 c7c6 g2g4 f7f5 d1d2 g7f6
14,h2h4 b7b6 b2b3 h7h5 h1h2 g8h6 c2c3 h6g8 e2e4 h8h7 g2g3 g7g6
15,d2d3 h7h6 b2b3 c7c5 e2e3 g7g6 a2a4 a7a5 d1g4 e7e5 e1d1 d8f6
16,e2e3 e7e5 e3e4 d8e7 b2b3 g8f6 a2a4 c7c6 a1a2 e7d6 f1e2 b8a6
17,e2e4 b8c6 g2g4 g8h6 a2a4 h8g8 b1c3 g7g5 g1h3 h6g4 f2f3 g4e3
18,g2g3 h7h5 b2b3 b7b6 f1g2 b8a6 e2e4 d7d6 c2c3 c7c6 h2h4 c8d7
