game,missing_queen,missing_rook,missing_bishop,missing_knight,missing_two_pawns,black_missing_queen,black_missing_rook,timestamp
20,-0.6500,-0.4897,-0.1212,+0.0073,-0.3398,+0.8051,+0.4836,2026-09-11 02:50:00
40,-0.5832,-0.4536,-0.0936,+0.0379,-0.3244,+0.8037,+0.5016,2026-09-11 03:16:16
60,-0.5445,-0.4064,-0.0710,+0.0441,-0.3155,+0.7770,+0.4812,2026-09-11 03:35:45
80,-0.5809,-0.4543,-0.0573,+0.0276,-0.3465,+0.8084,+0.5118,2026-09-11 03:59:48
100,-0.6016,-0.4643,-0.0783,+0.0206,-0.3473,+0.8199,+0.5380,2026-09-11 04:22:55
120,-0.5890,-0.4623,-0.0759,+0.0017,-0.3561,+0.8066,+0.5331,2026-09-11 04:49:31
140,-0.6021,-0.4758,-0.0736,+0.0116,-0.3402,+0.8012,+0.5136,2026-09-11 05:13:15
160,-0.6189,-0.4652,-0.0829,+0.0300,-0.3472,+0.7978,+0.5180,2026-09-11 05:40:10
180,-0.6090,-0.4786,-0.0903,+0.0352,-0.3445,+0.7896,+0.5144,2026-09-11 06:00:23
200,-0.5880,-0.4473,-0.0777,+0.0300,-0.3367,+0.7650,+0.5047,2026-09-11 06:23:17
220,-0.6320,-0.5086,-0.0732,+0.0248,-0.3657,+0.8144,+0.5033,2026-09-11 06:46:52
240,-0.6346,-0.4760,-0.0949,-0.0346,-0.3595,+0.8234,+0.4692,2026-09-11 07:12:45
260,-0.5787,-0.4314,-0.0549,+0.0207,-0.3465,+0.8360,+0.5070,2026-09-11 07:33:00
280,-0.6646,-0.5178,-0.0911,-0.0625,-0.4109,+0.8000,+0.5119,2026-09-11 07:56:00
300,-0.5713,-0.4628,-0.0794,-0.0339,-0.3312,+0.7956,+0.5056,2026-09-11 08:15:44
320,-0.5986,-0.4879,-0.0821,+0.0303,-0.3431,+0.8191,+0.5040,2026-09-11 08:40:54
340,-0.6007,-0.4914,-0.0878,+0.0313,-0.3936,+0.8097,+0.4925,2026-09-11 09:07:33
