game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,16,32,1,0,1
100,7,36,4,1,2
150,10,34,3,2,1
200,4,40,4,2,0
250,6,40,2,1,1
300,7,37,5,0,1
