game,outcome,end_reason,n_moves,loss,steps,timestamp,moves
12,B,material_adjudication,73,1.743763,60,2026-09-11 02:41:03,e2e3 e7e5 f1c4 c7c5 e1e2 a7a6 c2c3 a8a7 b2b4 e5e4 g2g4 b7b6 h2h4 e8e7 c1b2 d7d5 d1e1 e7e8 d2d3 e4d3 c4d3 c8g4 f2f3 g4c8 e2f1 b6b5 a2a4 c5b4 c3b4 a7b7 e1c3 d5d4 c3d4 a6a5 b4a5 d8d4 b2d4 b5b4 d3e2 f8d6 h4h5 b7c7 d4a7 c7a7 b1d2 c8e6 d2e4 d6e5 a1d1 g8f6 h5h6 f6e4 f3e4 g7h6 g1f3 e5f6 h1h6 b8d7 e4e5 f6g7 f3g5 g7h6 g5e6 f7e6 e3e4 d7c5 e2d3 c5a4 f1e2 e8d7 a5a6 a7a8 d1d2
13,W,material_adjudication_moderate,76,1.736583,65,2026-09-11 02:41:44,h2h4 b7b6 b2b3 g7g6 e2e4 f8g7 d2d4 c7c6 g2g4 f7f5 d1d2 g7f6 e1d1 e7e5 g4f5 e5d4 g1e2 d8e7 a2a4 e7e4 b1a3 e4e5 a3c4 c8a6 c4e5 f6g7 e5d3 d7d5 d2b4 c6c5 b4d2 g6f5 f1g2 a6b7 g2f3 g8f6 a1b1 h8f8 e2d4 c5d4 f3e2 b8a6 d3f4 g7h6 e2a6 h6f4 a6b7 f4d2 c1d2 a8c8 b7c8 a7a5 h1g1 h7h5 g1g5 f8h8 b1a1 h8h7 f2f4 e8d8 c8b7 d8e7 a1b1 e7f7 b3b4 a5b4 b1b3 h7h8 b7c8 h8c8 d2b4 c8c4 b4d2 c4a4 g5f5 f7g6
14,B,material_adjudication,77,1.690516,70,2026-09-11 02:42:59,h2h4 b7b6 b2b3 h7h5 h1h2 g8h6 c2c3 h6g8 e2e4 h8h7 g2g3 g7g6 d1f3 e7e5 a2a4 d7d5 f1h3 d5e4 f3e4 f8e7 e4a8 c8h3 g1h3 e8f8 f2f4 h7h8 f4f5 a7a5 f5g6 g8f6 c1a3 e7a3 b1a3 b8c6 a8d8 c6d8 g6g7 f8g7 h3g1 f6g4 h2g2 h8e8 d2d3 g4e3 e1f2 e3g2 f2g2 e8e7 g1f3 e5e4 d3e4 e7e6 e4e5 g7g6 a1d1 e6c6 g2h3 c6c3 b3b4 c3f3 h3g2 f3a3 b4a5 b6a5 g3g4 a3a4 g2g3 h5g4 d1d5 c7c6 d5a5 a4a5 g3g4 a5e5 h4h5 g6g7 g4f4
15,W,checkmate,29,1.730135,75,2026-09-11 02:44:35,d2d3 h7h6 b2b3 c7c5 e2e3 g7g6 a2a4 a7a5 d1g4 e7e5 e1d1 d8f6 g4e2 f8g7 g2g4 g8e7 d1e1 g6g5 d3d4 c5d4 e3d4 b8c6 d4e5 c6e5 h2h4 e5g4 c1g5 f6a1 e2e7
16,B,material_adjudication,93,1.677426,80,2026-09-11 02:45:30,e2e3 e7e5 e3e4 d8e7 b2b3 g8f6 a2a4 c7c6 a1a2 e7d6 f1e2 b8a6 h2h4 f6g8 h4h5 b7b6 d2d4 e5d4 h1h3 d4d3 e2g4 f7f5 c1d2 f5g4 h3d3 d6e5 c2c3 e8f7 a4a5 e5c7 g1e2 b6a5 d1c2 h7h6 b1a3 f8a3 a2a3 g8e7 d2f4 c7d8 c2d2 a6c5 f4e3 c5d3 d2d3 c8b7 f2f4 c6c5 e2g3 d7d5 e4d5 d8d5 d3d2 f7e6 e3c5 d5c6 c5e7 e6e7 a3a5 e7e6 f4f5 e6f7 e1e2 c6g2 e2e1 g2f3 d2e2 f3g3 e2f2 g3f2 e1f2 g7g5 f5g6 f7g7 f2f1 h8d8 c3c4 a8c8 c4c5 d8d4 a5a4 d4a4 b3a4 b7a6 f1g2 g7f8 g6g7 f8g7 c5c6 c8c7 g2f2 c7c8 f2g2
17,B,material_adjudication,75,1.682820,85,2026-09-11 02:45:31,e2e4 b8c6 g2g4 g8h6 a2a4 h8g8 b1c3 g7g5 g1h3 h6g4 f2f3 g4e3 d2e3 d7d6 d1d5 a7a5 c3b1 a8b8 d5d4 c6d4 b2b4 d4e2 b4a5 b8a8 h3g1 e2g3 h2g3 e7e6 b1a3 b7b6 a5b6 c8b7 b6c7 d8c7 f1b5 e8d8 a4a5 a8a5 b5d3 f7f6 c1d2 d8e8 d3e2 a5c5 a3b5 c7c8 a1a5 f6f5 e4f5 d6d5 c2c4 c5b5 c4b5 e6f5 a5a7 f8g7 g1h3 g7f6 h3f4 g5f4 g3f4 g8g6 a7b7 c8b7 d2a5 b7d7 e1f1 d5d4 h1h7 d7h7 f1e1 d4e3 a5d2 h7h1 e2f1
18,B,material_adjudication,66,1.660621,90,2026-09-11 02:47:31,g2g3 h7h5 b2b3 b7b6 f1g2 b8a6 e2e4 d7d6 c2c3 c7c6 h2h4 c8d7 e1f1 e7e5 g1f3 a8b8 f1g1 d8f6 f3e5 d6e5 c1b2 h8h6 f2f4 d7e6 d1c2 b8d8 a2a4 g8e7 f4e5 f6g6 b2a3 e7g8 c2b2 f8a3 b2a3 a6c5 g3g4 a7a6 a3c5 b6c5 g4h5 h6h5 a4a5 e6b3 e5e6 c5c4 e6e7 e8e7 g1f2 e7e8 g2f3 g6f6 a1a2 g8h6 h1g1 e8f8 g1g3 b3a2 f2e2 d8d6 e4e5 f6d8 e5d6 f8g8 d2d4 h5h4
19,W,checkmate,105,1.689961,95,2026-09-11 02:48:12,a2a3 e7e5 d2d3 b8a6 c2c3 g7g5 b2b3 d7d6 c1g5 b7b6 f2f4 d8d7 f4e5 d6d5 e5e6 f7e6 c3c4 a8b8 e1d2 d5d4 g1h3 f8d6 g5h4 d6e7 h3g5 h7h6 g5e6 d7e6 h4g3 e8f7 h2h4 e7f6 h1h3 g8e7 a3a4 c7c5 g3b8 a6b8 a1a3 b8d7 g2g4 c8b7 g4g5 h6g5 h4g5 f6g5 d2e1 g5f4 h3h8 e6f5 f1g2 b7g2 h8h4 a7a5 e2e3 d4e3 b1c3 g2b7 c3b5 f7e6 d1e2 b7a6 b5a7 f5g5 h4h5 g5g6 e1f1 f4g5 f1g2 d7f6 h5h1 f6d7 h1f1 a6c8 a7c8 g6e8 f1e1 e8c8 e1f1 c8c6 f1f3 g5h6 a3a1 h6g7 e2e3 g7e5 e3e2 e6d6 a1f1 d7f6 g2g1 f6h5 e2d1 h5g3 f3f7 g3f1 d1f1 e7g6 f7f5 e5c3 f5f7 c6c8 f1f3 d6e6 f3d5
20,W,material_adjudication_moderate,76,1.771496,100,2026-09-11 02:49:59,d2d3 b8a6 d3d4 g8f6 d1d2 a6c5 f2f3 a8b8 d4c5 h8g8 h2h3 e7e5 d2a5 c7c6 a5d8 e8d8 g2g4 f8c5 g4g5 f6e4 b1c3 b7b6 f3f4 c5d4 c3e4 d4g1 h1g1 d8c7 h3h4 d7d5 f4e5 d5e4 h4h5 c8g4 g1g4 g7g6 g4f4 e4e3 h5g6 h7g6 f1g2 g8c8 e5e6 f7e6 f4f1 e6e5 g2f3 c7d8 c2c3 b6b5 f1h1 d8c7 h1f1 a7a5 f1g1 c7d8 g1g3 d8d7 e1d1 e5e4 f3e4 d7e7 e4f3 e7d6 b2b4 a5b4 c1b2 b4c3 b2c3 d6c7 c3f6 b5b4 a2a3 b4b3 d1e1 b3b2
21,B,checkmate,52,1.707157,105,2026-09-11 02:51:07,b1a3 a7a5 g2g4 f7f6 f2f3 g8h6 d2d4 b7b5 h2h4 h6g4 a1b1 b5b4 a3c4 c8b7 c1e3 g4e3 c4e3 h7h5 d4d5 b7d5 d1d3 d5b7 b2b3 d7d5 d3d4 b8d7 c2c4 e7e5 d4e5 f6e5 e3d5 a8a6 d5b4 a5b4 a2a3 b7d5 c4d5 e5e4 a3b4 f8d6 e1d2 g7g6 e2e3 e4f3 f1a6 c7c6 d5c6 d7e5 a6c4 d6b4 d2c2 d8d2
