game,avg_policy_loss,avg_value_loss,steps,timestamp
50,1.648001,0.060827,250,2026-09-11 03:27:50
100,1.649508,0.060603,500,2026-09-11 04:22:53
150,1.642174,0.061161,750,2026-09-11 05:21:01
200,1.647567,0.060858,1000,2026-09-11 06:23:15
250,1.646712,0.058442,1250,2026-09-11 07:23:19
300,1.642572,0.059983,1500,2026-09-11 08:15:43
