game,position,move1,pct1,move2,pct2,move3,pct3,move4,pct4,move5,pct5
50,start,a2a4,19.2%,b2b4,15.2%,b2b3,9.1%,g1f3,6.1%,c2c4,5.1%
50,after_e4,a7a5,14.1%,b7b6,14.1%,b7b5,12.1%,g7g6,6.1%,c7c5,5.1%
50,after_d4,g8f6,12.1%,a7a5,11.1%,b7b6,10.1%,b8c6,9.1%,b7b5,8.1%
50,italian_game,b2b3,17.2%,g2g4,9.1%,b2b4,6.1%,d2d3,5.1%,d1e2,5.1%
50,queens_gambit,c7c5,9.1%,c7c6,8.1%,b7b6,8.1%,g8h6,7.1%,g7g6,7.1%
100,start,b2b4,19.2%,a2a4,17.2%,b2b3,9.1%,e2e4,4.0%,g1f3,4.0%
100,after_e4,g7g6,14.1%,b7b5,11.1%,b7b6,9.1%,a7a5,9.1%,c7c5,7.1%
100,after_d4,b7b6,12.1%,b7b5,12.1%,g8f6,11.1%,e7e6,6.1%,g7g6,6.1%
100,italian_game,b2b3,15.2%,b1c3,6.1%,f3g5,5.1%,g2g4,5.1%,f1e2,4.0%
100,queens_gambit,g7g6,13.1%,b7b5,10.1%,b7b6,9.1%,g8h6,7.1%,h7h6,5.1%
150,start,a2a4,29.3%,b2b3,11.1%,b2b4,11.1%,g1f3,4.0%,g1h3,3.0%
150,after_e4,a7a5,20.2%,b7b5,11.1%,b7b6,6.1%,d7d6,5.1%,c7c5,5.1%
150,after_d4,a7a5,15.2%,b8c6,10.1%,e7e6,9.1%,b7b5,7.1%,a7a6,7.1%
150,italian_game,b2b3,9.1%,a2a4,9.1%,d2d4,5.1%,b1c3,5.1%,a2a3,4.0%
150,queens_gambit,g7g6,17.2%,g8h6,7.1%,c7c6,7.1%,h7h6,6.1%,c7c5,6.1%
200,start,b2b4,20.2%,b2b3,12.1%,g1f3,8.1%,e2e4,6.1%,a2a4,6.1%
200,after_e4,b7b5,21.2%,a7a5,13.1%,b7b6,7.1%,e7e5,6.1%,c7c5,6.1%
200,after_d4,b7b5,15.2%,b7b6,10.1%,b8c6,9.1%,e7e5,8.1%,a7a5,8.1%
200,italian_game,b2b3,12.1%,b2b4,8.1%,f3g5,5.1%,c2c3,5.1%,g2g3,4.0%
200,queens_gambit,g7g6,10.1%,g8h6,7.1%,b7b5,7.1%,b7b6,7.1%,c7c6,6.1%
