game,start,w_wins,b_move,missing_queen,timestamp
200,-0.0298,+0.9986,-0.9995,-0.9981,2026-08-27 15:08:30
400,+0.0090,+0.9988,-0.9996,-0.4928,2026-08-27 18:08:26
600,+0.0385,+0.9993,-0.9994,-0.9975,2026-08-28 03:12:47
800,+0.0072,+0.9961,-0.9793,-0.1917,2026-08-28 06:11:09
1000,+0.0084,+0.9854,-0.9803,-0.5220,2026-08-28 09:12:32
1200,-0.0010,+0.9966,-0.9955,-0.9166,2026-08-28 12:33:18
