game,missing_queen,missing_rook,missing_bishop,missing_knight,missing_two_pawns,black_missing_queen,black_missing_rook,timestamp
20,-1.0000,-0.9993,-0.9782,-0.9475,-0.8823,+0.0157,+0.0397,2026-08-27 12:34:30
40,-0.9902,-0.0822,+0.0067,+0.0166,+0.0292,+0.0677,+0.0546,2026-08-27 12:47:48
60,-0.7571,+0.0117,+0.0176,+0.0198,+0.0058,+0.0537,+0.0326,2026-08-27 13:06:59
80,-1.0000,-0.2300,-0.0498,-0.0394,-0.0429,+0.2106,-0.0191,2026-08-27 13:23:19
100,-0.3669,-0.0074,-0.0061,-0.0060,+0.0032,+0.0071,+0.0009,2026-08-27 13:43:23
120,-0.6441,-0.2885,+0.0223,+0.0205,+0.0206,+0.1455,+0.0656,2026-08-27 14:00:36
140,-0.9351,-0.0003,+0.0187,+0.0154,+0.0236,+0.1417,+0.1065,2026-08-27 14:19:44
160,-0.9998,-0.2909,+0.0416,+0.0348,-0.0183,+0.0307,+0.0621,2026-08-27 14:35:06
180,-0.9951,-0.0991,-0.0460,-0.0467,-0.0466,+0.0239,-0.0388,2026-08-27 14:53:17
200,-0.9981,-0.3699,-0.0754,-0.0653,-0.0380,+0.0460,-0.0442,2026-08-27 15:08:30
220,-0.9026,-0.6162,+0.0261,+0.0224,+0.0410,+0.0970,+0.1007,2026-08-27 15:25:54
240,-0.9890,-0.4683,+0.0097,+0.0079,-0.1661,+0.0207,+0.0077,2026-08-27 15:43:07
260,-0.8983,-0.2938,-0.0038,+0.0082,-0.0594,+0.1770,-0.0419,2026-08-27 16:00:55
280,-0.8944,-0.5663,+0.0031,+0.0154,+0.0260,-0.0130,-0.2241,2026-08-27 16:16:21
300,-0.5102,-0.5667,+0.0930,+0.1186,+0.1677,+0.0835,+0.0951,2026-08-27 16:30:16
320,-0.9159,-0.8030,+0.0013,-0.0032,-0.0854,+0.0298,-0.1343,2026-08-27 16:47:14
340,-0.9869,-0.8159,-0.0116,-0.0078,-0.0042,-0.0439,-0.0204,2026-08-27 17:04:14
360,-0.9973,-0.9473,-0.0962,-0.0902,-0.2499,-0.0136,-0.0337,2026-08-27 17:26:55
380,-0.4932,-0.4814,+0.0616,+0.0613,+0.0898,+0.2667,+0.0230,2026-08-27 17:48:39
400,-0.4928,-0.2781,+0.0161,+0.0199,+0.0027,-0.0268,+0.0033,2026-08-27 18:08:26
420,-0.9172,-0.3218,-0.0571,-0.0550,-0.1230,+0.0727,-0.0264,2026-08-27 18:31:34
440,-0.8324,-0.3440,-0.0266,-0.0241,-0.0399,-0.0460,-0.0210,2026-08-27 18:52:41
460,-0.5721,-0.1113,+0.0321,+0.0320,+0.0417,+0.1398,+0.0466,2026-08-28 01:12:12
480,-0.9095,-0.8659,-0.0184,-0.0141,-0.2242,-0.0173,-0.0167,2026-08-28 01:31:57
500,-0.7009,-0.5550,+0.0205,+0.0228,-0.0615,+0.0618,+0.0158,2026-08-28 01:50:29
520,-0.8553,+0.0100,+0.0475,+0.0560,+0.0988,+0.1717,+0.0522,2026-08-28 02:04:48
540,-0.4511,+0.0191,+0.0475,+0.0296,+0.0296,+0.0829,+0.0226,2026-08-28 02:20:47
560,-0.5318,-0.2835,+0.0066,+0.0093,-0.0233,+0.1488,+0.1818,2026-08-28 02:39:03
580,-0.9946,-0.9677,-0.1510,-0.1877,-0.0497,+0.4624,+0.0909,2026-08-28 02:56:56
600,-0.9975,-0.7924,-0.1406,-0.0613,-0.1819,+0.3246,+0.0565,2026-08-28 03:12:47
620,-0.9697,-0.5042,-0.0807,-0.0724,-0.1300,+0.5423,+0.0732,2026-08-28 03:31:04
640,-0.9971,-0.5214,-0.0631,-0.1180,-0.1615,+0.3294,+0.0190,2026-08-28 03:45:17
660,-0.9656,-0.5995,-0.2548,-0.2488,-0.4329,+0.4556,-0.0143,2026-08-28 03:58:19
680,-0.2828,-0.0130,-0.0051,-0.0087,+0.0380,+0.4353,+0.1922,2026-08-28 04:17:21
700,-0.9820,-0.5532,+0.0095,+0.0119,+0.0020,+0.2041,+0.0157,2026-08-28 04:33:50
720,-0.9276,-0.3702,-0.0030,-0.0136,-0.0031,+0.2277,+0.0261,2026-08-28 04:59:40
740,-0.7530,+0.0274,+0.0280,+0.0257,+0.0468,+0.0630,+0.0515,2026-08-28 05:16:19
760,-0.7267,+0.0110,+0.0018,+0.0141,+0.0163,+0.2543,+0.0493,2026-08-28 05:32:20
780,-0.9653,-0.0654,+0.0219,+0.0446,+0.0863,+0.2274,+0.0608,2026-08-28 05:55:33
800,-0.1917,-0.0084,+0.0053,+0.0252,+0.0287,+0.0698,+0.0119,2026-08-28 06:11:09
820,-0.9441,+0.0008,+0.0134,+0.0198,+0.0262,+0.3585,+0.0258,2026-08-28 06:29:16
840,-0.9718,-0.0095,-0.0070,-0.0107,+0.0066,+0.1212,-0.0143,2026-08-28 06:52:57
860,-0.9876,-0.2177,+0.0707,+0.0266,+0.0715,+0.0781,+0.0558,2026-08-28 07:05:55
880,-0.3159,-0.0323,-0.0236,-0.0273,-0.0135,-0.1188,-0.0008,2026-08-28 07:26:29
900,-0.9890,-0.3704,+0.0602,+0.0523,+0.0731,+0.1990,+0.0811,2026-08-28 07:43:03
920,-0.8717,-0.0185,+0.0099,+0.0003,+0.0519,+0.0199,+0.0184,2026-08-28 07:58:28
940,-0.9700,+0.0424,+0.0073,+0.0128,+0.0295,-0.0371,+0.0104,2026-08-28 08:18:07
960,-0.9987,-0.2738,+0.0162,+0.0286,-0.1278,+0.0448,+0.0235,2026-08-28 08:38:19
980,-0.8292,+0.0425,+0.0183,+0.0146,+0.0849,+0.1065,-0.0029,2026-08-28 08:57:01
1000,-0.5220,+0.0600,+0.0075,+0.0081,+0.0444,+0.1227,-0.0048,2026-08-28 09:12:32
1020,-0.9874,-0.2831,-0.0526,-0.0626,-0.0248,+0.0849,-0.0106,2026-08-28 09:32:32
1040,-0.9651,-0.4101,+0.0544,+0.0050,+0.0961,+0.0040,+0.0332,2026-08-28 09:56:43
1060,-0.9955,+0.0234,+0.0399,+0.0159,+0.0571,+0.0905,+0.0333,2026-08-28 10:16:11
1080,-0.5128,-0.0006,+0.0088,+0.0093,+0.0298,+0.0015,+0.0229,2026-08-28 10:35:48
