game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,28,22,0,0.203381,56.0,4,9,14,16,7,250,2026-08-27 12:59:34
100,21,28,1,0.226561,63.3,2,7,14,17,10,500,2026-08-27 13:43:23
150,20,30,0,0.277270,66.7,1,6,12,18,13,750,2026-08-27 14:29:04
200,23,26,1,0.324755,58.6,0,10,22,11,7,1000,2026-08-27 15:08:29
250,28,22,0,0.361281,62.8,1,9,16,14,10,1250,2026-08-27 15:53:04
300,27,23,0,0.393577,56.2,2,8,21,10,9,1500,2026-08-27 16:30:16
350,22,28,0,0.417237,57.5,1,15,11,15,8,1750,2026-08-27 17:12:16
400,26,24,0,0.457452,61.7,1,10,15,14,10,2000,2026-08-27 18:08:25
450,1,2,0,0.521693,23.0,1,2,0,0,0,2250,2026-08-28 01:04:16
500,30,19,1,0.523295,63.5,1,3,20,17,9,2500,2026-08-28 01:50:28
550,22,28,0,0.555747,57.0,4,7,14,19,6,2750,2026-08-28 02:29:16
600,26,24,0,0.587601,60.1,1,9,21,8,11,3000,2026-08-28 03:12:47
650,22,27,1,0.624844,57.5,2,10,17,16,5,3250,2026-08-28 03:53:16
700,28,21,1,0.635168,59.4,1,16,14,7,12,3500,2026-08-28 04:33:49
750,27,21,2,0.655775,66.2,4,4,15,12,15,3750,2026-08-28 05:24:24
800,31,19,0,0.675514,65.7,0,7,15,17,11,4000,2026-08-28 06:11:09
850,32,17,1,0.713157,66.5,0,10,14,13,13,4250,2026-08-28 06:57:23
900,29,21,0,0.729594,61.2,0,11,15,12,12,4500,2026-08-28 07:43:03
950,29,21,0,0.744070,62.7,0,6,18,14,12,4750,2026-08-28 08:29:03
1000,24,25,1,0.776464,65.2,1,11,9,18,11,5000,2026-08-28 09:12:32
1050,26,24,0,0.798207,73.5,0,8,8,17,17,5250,2026-08-28 10:11:08
1100,20,30,0,0.815185,64.7,3,9,10,15,13,5500,2026-08-28 10:56:41
1150,28,22,0,0.838421,67.0,1,8,15,11,15,5750,2026-08-28 11:44:01
1200,28,21,1,0.857240,67.5,1,10,9,17,13,6000,2026-08-28 12:33:17
1250,32,16,2,0.876463,70.0,1,4,15,16,14,6250,2026-08-28 13:25:30
