game,missing_queen,missing_rook,missing_bishop,missing_knight,missing_two_pawns,black_missing_queen,black_missing_rook,timestamp
40,+0.0162,-0.9978,-0.9976,-0.9974,-0.9979,-0.8296,-0.9896,2026-08-18 11:57:51
60,+0.0171,-0.8507,+0.0280,+0.0220,-0.1036,+0.0314,-0.9947,2026-08-18 12:29:04
80,+0.0207,-0.5037,+0.0213,+0.0216,+0.0316,+0.0225,-0.4525,2026-08-18 12:48:12
100,+0.0420,+0.2676,+0.0293,+0.0324,+0.0477,+0.0930,-0.4028,2026-08-18 13:14:58
120,+0.0067,-0.1725,+0.0205,+0.0205,-0.0053,+0.0205,-0.0118,2026-08-18 13:40:26
140,+0.0230,+0.2244,+0.0230,+0.0281,+0.0817,+0.0659,-0.9830,2026-08-18 14:12:26
160,+0.0245,+0.1929,+0.0245,+0.0270,+0.0162,+0.0245,-0.0306,2026-08-19 03:28:08
180,+0.0231,-0.1186,+0.0154,+0.0260,+0.0335,+0.0281,-0.6712,2026-08-19 03:53:59
200,-0.2413,-0.7136,-0.0318,-0.0009,-0.0635,+0.0063,-0.8862,2026-08-19 04:15:14
220,+0.0895,+0.1512,+0.0883,+0.1187,+0.1078,+0.1092,-0.0067,2026-08-19 04:32:33
240,+0.0285,+0.0343,+0.0285,+0.0285,+0.0285,+0.0239,-0.1326,2026-08-19 04:51:16
260,+0.0339,-0.1873,+0.0522,+0.0550,+0.0406,+0.0457,-0.8756,2026-08-19 05:13:26
280,+0.0456,+0.2444,+0.0584,+0.0404,+0.1349,+0.0969,-0.9974,2026-08-19 05:30:45
300,-0.0461,+0.1773,+0.0144,+0.0420,-0.0410,+0.0741,-0.4498,2026-08-19 05:51:22
320,-0.0076,-0.0023,-0.0024,-0.0013,-0.0003,-0.0290,-0.4002,2026-08-19 06:05:00
340,+0.0880,+0.0388,+0.0866,+0.0854,+0.0818,+0.0622,-0.3023,2026-08-19 06:26:56
360,-0.0159,+0.0118,-0.0056,-0.0077,-0.0341,-0.0220,-0.0443,2026-08-19 06:42:02
380,-0.0237,+0.4555,-0.0243,-0.0243,-0.0239,-0.0183,-0.1078,2026-08-19 06:57:31
400,-0.0313,-0.0613,-0.0258,-0.0258,-0.0412,+0.0015,-0.2202,2026-08-19 07:14:38
