game,start,w_wins,b_move,missing_queen,timestamp
200,-0.0070,+0.9969,-0.9964,-0.2413,2026-08-19 04:15:14
400,-0.0227,+0.9864,-0.9729,-0.0313,2026-08-19 07:14:38
600,-0.0142,+0.9989,-0.9973,-0.0358,2026-08-19 10:38:53
800,+0.0231,+0.9972,-0.9920,+0.0203,2026-08-19 14:12:27
1000,+0.0405,+0.9995,-0.9990,+0.0305,2026-08-21 00:27:00
1200,+0.0332,+0.9867,-0.9868,-0.0727,2026-08-21 03:36:16
1400,+0.0215,+0.9970,-0.9873,+0.0217,2026-08-21 06:49:01
1600,+0.0386,+0.9900,-0.9779,+0.0364,2026-08-22 02:51:01
1800,+0.0355,+0.9966,-0.9945,+0.0085,2026-08-22 05:48:08
2000,+0.0434,+0.9994,-0.9957,-0.0779,2026-08-22 09:02:54
2200,-0.0058,+0.9973,-0.9918,-0.0181,2026-08-23 06:20:11
2400,+0.0330,+0.9948,-0.9952,-0.5132,2026-08-23 09:39:59
