game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,4,0,11,0,0
100,6,0,28,0,0
150,4,0,2,0,0
200,7,0,29,3,1
250,7,0,31,2,0
300,7,0,35,2,0
350,7,0,33,2,2
400,10,0,33,1,0
450,7,0,34,2,1
500,8,0,30,3,1
550,5,0,34,3,0
600,9,0,27,1,0
650,5,0,31,3,1
700,6,0,34,1,0
750,8,0,33,2,0
800,3,0,42,0,0
850,8,0,32,3,0
900,8,0,28,2,2
950,6,0,35,2,0
1000,3,0,11,0,0
1050,5,0,36,3,1
1100,0,0,36,3,0
1150,7,0,34,1,0
1200,3,0,31,3,0
1250,5,0,31,3,1
1300,5,0,32,2,0
1350,5,0,36,3,0
1400,2,0,38,1,1
1450,4,0,36,2,0
1500,6,0,37,4,1
1550,5,0,33,3,0
