game,moves
1,d2d4 d7d5 c1g5 d8d7 a2a4 a7a5 g5d2 h7h5 d2h6 d7f5 e2e4 b7b6
2,g1h3 c7c5 e2e4 d8c7 g2g4 g7g5 d1e2 c7d6 e4e5 d6c7 b2b3 b7b5
3,d2d3 d7d5 b2b3 c8e6 c1h6 f7f5 h6e3 g7g5 h2h3 e8d7 e3c1 c7c5
4,e2e4 g7g6 d1f3 d7d6 f3e2 e7e6 d2d4 e8e7 e2c4 e7e8 c4b5 c7c6
5,b2b3 f7f5 g1h3 b8a6 c2c4 d7d5 c4c5 f5f4 h3f4 c8h3 d2d4 c7c6
6,f2f4 c7c5 c2c3 a7a6 h2h3 c5c4 h1h2 b8c6 f4f5 d7d6 d2d3 e8d7
7,d2d4 h7h6 d1d2 d7d6 h2h3 a7a5 e1d1 b8d7 c2c3 f7f5 f2f4 c7c6
8,d2d3 c7c6 e1d2 f7f6 g1f3 g7g6 g2g4 e7e5 b1c3 b7b5 h2h3 h7h6
9,g1h3 b8a6 e2e4 b7b5 d2d3 g8f6 h3g5 h8g8 g5f3 a6c5 h1g1 e7e5
10,d2d3 c7c5 c1h6 a7a5 e2e3 d7d6 d1f3 g8h6 c2c3 b7b6 e1d1 d8c7
11,g2g3 b7b5 e2e3 h7h5 f1d3 d7d5 g1f3 b8a6 d1e2 c8e6 a2a3 f7f6
12,b2b3 g8f6 d2d3 a7a5 f2f3 c7c6 e1f2 b7b6 h2h4 f6e4 d3e4 d7d5
13,f2f4 g7g5 g1h3 h7h6 a2a3 e7e5 b2b3 c7c6 d2d3 f8b4 a3b4 e8f8
14,f2f4 d7d6 h2h4 a7a5 g2g4 b8d7 d2d3 d6d5 a2a3 g7g6 h1h3 e7e6
15,b1c3 g8h6 c3b5 g7g6 a2a4 e7e5 c2c3 b8c6 d1c2 c6b4 f2f3 d8h4
16,f2f4 e7e6 b1c3 b8c6 g1h3 d8f6 c3d5 e6d5 h3f2 f6b2 d2d3 f7f6
17,d2d3 g8f6 c1d2 b7b5 d1c1 b8c6 d2e3 f6g8 e3a7 b5b4 e1d2 c6e5
18,b2b3 f7f6 d2d4 a7a5 a2a3 e7e6 c1f4 f8b4 f4d2 d8e7 g2g4 g8h6
19,g1h3 h7h6 a2a3 b7b6 g2g3 c7c5 f2f3 g7g6 d2d4 e7e5 d1d2 d7d5
20,b1c3 g8h6 a2a4 h6g4 g2g3 b7b6 e2e3 c7c5 a1a2 h8g8 f1c4 g7g5
21,a2a3 b8c6 h2h3 a7a6 b2b3 g8h6 h1h2 a6a5 b3b4 e7e6 g2g3 f8d6
22,g2g4 g8h6 a2a3 a7a6 g1h3 d7d5 a3a4 d8d7 h3f4 d7e6 f4g2 a8a7
23,d2d3 d7d6 d3d4 c8d7 c2c4 d7f5 e2e3 g8f6 d1d2 e7e5 d2d3 c7c5
24,h2h3 h7h6 b1c3 b7b6 c3b1 h6h5 g2g4 b8c6 a2a3 c6d4 h1h2 g7g6
25,g1h3 g7g6 f2f4 h7h6 a2a4 f7f5 e1f2 d7d6 b2b3 b7b5 c1b2 g6g5
26,a2a3 a7a6 b2b3 b8c6 g2g3 e7e6 g1f3 a6a5 f1h3 a8a7 d2d3 c6e7
27,f2f4 d7d5 e1f2 d5d4 c2c4 c8g4 g1f3 e8d7 g2g3 d8e8 h2h3 b7b5
28,g1f3 h7h6 a2a3 f7f6 f3d4 h6h5 g2g3 d7d6 d4c6 c8e6 a1a2 h8h6
29,g1h3 d7d6 d2d3 a7a6 d1d2 b8c6 a2a3 c6b4 e2e3 b4d5 d3d4 c7c6
30,b1a3 e7e5 g1h3 b8c6 f2f4 f8c5 d2d3 h7h6 f4f5 d8e7 c1e3 e8f8
31,g1f3 b7b5 a2a3 d7d5 h2h3 e7e6 b1c3 c7c6 a1a2 d8c7 c3d5 c7a5
32,a2a4 g7g5 h2h4 c7c6 h4h5 d7d5 d2d4 e8d7 a1a2 g8h6 g1h3 b7b5
33,a2a3 a7a6 c2c3 h7h6 d2d4 a8a7 d4d5 g8f6 d1d3 g7g6 f2f3 g6g5
34,b2b4 b8c6 e2e4 f7f6 d2d4 c6e5 b1d2 g7g5 e1e2 c7c5 e2e3 f8g7
35,g2g4 g8h6 a2a4 g7g5 e2e4 a7a5 a1a2 a8a7 a2a3 e7e5 b1c3 f8b4
36,h2h4 b7b6 e2e3 g8h6 f1e2 b8a6 g2g4 a6c5 g4g5 c8a6 c2c3 f7f6
37,b2b4 f7f6 c2c4 h7h6 d1a4 b7b5 a4b5 a7a5 c1b2 f6f5 b1c3 a5b4
38,c2c4 a7a6 b2b4 e7e5 a2a3 a8a7 h2h3 f7f5 d2d4 h7h6 c1h6 g7g5
39,g2g3 h7h5 h2h4 g7g5 f1g2 d7d6 b1a3 a7a5 d2d4 b8c6 g2d5 c8h3
40,c2c3 h7h5 b1a3 d7d5 d1b3 a7a6 a3b1 c8h3 b3a4 b7b5 g2h3 e8d7
41,a2a3 d7d5 b2b4 g7g5 c2c3 e8d7 d1b3 d7e8 d2d3 c8d7 e1d1 c7c5
42,g1h3 a7a6 f2f3 b8c6 b1c3 e7e6 e1f2 a8a7 e2e3 c6a5 d2d4 a5c6
43,e2e3 g8f6 c2c4 h7h6 e1e2 h6h5 b2b4 f6h7 a2a3 h7g5 a3a4 d7d5
44,a2a3 a7a6 g2g4 d7d6 a1a2 b7b6 g4g5 e8d7 h2h4 b8c6 f2f4 d7e6
45,b2b3 g7g5 b1c3 g8f6 g2g4 f6g4 c3b1 h7h5 c1b2 h8h6 h2h4 b7b6
46,e2e3 e7e6 f1d3 f7f6 d3e4 f6f5 d1h5 e8e7 e1d1 h7h6 h2h3 e6e5
47,e2e4 d7d6 d2d4 g8h6 a2a3 c7c5 e4e5 b8c6 g2g3 h6g4 a1a2 g7g5
48,d2d3 b8c6 c1e3 h7h6 b1a3 a7a6 h2h4 a8b8 e3d4 e7e6 a1b1 c6a7
49,b2b3 h7h5 b1a3 d7d5 a3c4 e8d7 a1b1 g7g5 e2e4 d7c6 f2f4 f8h6
50,b2b4 a7a5 b1c3 b8c6 d2d4 h7h5 e2e3 a8a7 f1d3 h8h6 c1d2 c6e5
51,b2b4 g7g6 c1a3 g8h6 c2c4 g6g5 g2g3 f7f5 g1f3 b8c6 f3g1 c6d4
52,c2c3 a7a6 f2f3 h7h5 e2e3 b7b5 b2b3 b8c6 g1e2 d7d6 d2d4 a8a7
53,g1h3 f7f5 d2d3 c7c5 e1d2 f5f4 h3g1 g7g6 h2h3 e7e6 b1c3 h7h6
