game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,17,27,6,0.857694,118.1,1,1,3,7,38,250,2026-07-16 20:22:30
100,20,27,3,1.248262,118.1,0,3,4,2,41,500,2026-07-16 22:13:01
150,22,18,10,1.485596,116.9,1,3,4,3,39,750,2026-07-16 23:50:21
200,23,23,4,1.631120,113.5,1,3,5,7,34,1000,2026-07-17 01:23:45
250,22,22,6,1.672094,113.1,1,4,3,6,36,1250,2026-07-17 03:06:41
300,18,24,8,1.736337,130.0,0,1,2,5,42,1500,2026-07-17 05:01:55
350,17,24,9,1.804450,120.3,2,1,2,3,42,1750,2026-07-17 06:53:31
400,20,21,9,1.767518,117.0,0,4,2,8,36,2000,2026-07-17 08:36:22
450,29,11,10,1.795375,128.2,2,0,2,2,44,2250,2026-07-17 10:35:43
500,18,22,10,1.804061,123.1,0,1,2,6,41,2500,2026-07-17 12:28:40
550,26,17,7,1.818253,130.3,0,2,1,2,45,2750,2026-07-17 14:30:13
600,20,21,9,1.810749,121.9,1,0,6,2,41,3000,2026-07-17 16:25:36
650,23,19,8,1.822757,123.0,1,3,2,3,41,3250,2026-07-17 18:21:33
700,22,22,6,1.830685,118.4,0,3,2,8,37,3500,2026-07-17 20:11:21
750,25,21,4,1.843448,116.7,3,0,3,8,36,3750,2026-07-17 22:05:15
800,23,21,6,1.821317,122.6,0,3,3,2,42,4000,2026-07-18 00:06:03
850,13,30,7,1.845833,118.4,1,2,3,5,39,4250,2026-07-18 01:58:23
900,22,20,8,1.855414,117.7,1,3,4,3,39,4500,2026-07-18 03:45:47
950,17,23,10,1.837546,118.7,0,2,6,6,36,4750,2026-07-18 05:35:27
1000,22,23,5,1.838378,111.9,1,2,9,4,34,5000,2026-07-18 07:15:36
1050,2,0,0,1.816585,96.0,0,0,0,0,2,5250,2026-07-18 09:27:53
1100,9,7,2,1.820864,117.5,0,3,0,1,14,5500,2026-07-18 11:54:58
1150,17,15,5,1.840463,114.7,1,2,5,3,26,5750,2026-07-20 03:30:24
1200,23,21,6,1.836060,118.9,3,2,3,5,37,6000,2026-07-20 05:17:56
1250,24,21,5,1.836779,125.5,0,3,3,1,43,6250,2026-07-20 07:08:24
1300,4,4,2,1.789993,91.1,0,0,4,0,6,6500,2026-07-20 21:06:41
1350,23,20,7,1.828304,119.2,2,1,1,7,39,6750,2026-07-20 22:43:35
1400,23,21,6,1.814008,117.8,1,6,2,4,37,7000,2026-07-21 00:22:48
1450,24,23,3,1.840034,118.2,0,1,6,4,39,7250,2026-07-21 02:05:54
1500,24,22,4,1.826963,119.9,1,2,3,5,39,7500,2026-07-21 03:55:34
1550,22,23,5,1.849359,118.0,1,1,3,6,39,7750,2026-07-21 05:37:40
1600,14,26,10,1.869034,114.7,2,2,4,4,38,8000,2026-07-21 07:27:05
1650,20,26,4,1.926898,126.8,0,0,1,5,44,8250,2026-07-21 09:14:32
1700,18,25,7,1.977134,117.6,1,1,3,8,37,8500,2026-07-21 10:58:06
1750,29,19,2,2.007394,110.0,0,3,6,9,32,8750,2026-07-21 12:36:39
1800,23,20,7,1.992818,111.7,0,0,8,7,35,9000,2026-07-21 14:15:26
1850,21,24,5,1.995279,115.2,3,4,2,3,38,9250,2026-07-21 15:54:55
1900,22,23,5,1.977975,108.1,0,7,5,6,32,9500,2026-07-21 17:31:06
1950,17,23,10,1.973591,118.9,2,4,2,3,39,9750,2026-07-21 19:14:34
2000,24,23,3,1.963658,113.5,1,1,7,6,35,10000,2026-07-21 20:56:52
2050,27,19,4,1.966057,117.7,0,1,6,6,37,10250,2026-07-21 22:39:02
2100,22,20,8,1.944903,127.1,1,2,2,1,44,10500,2026-07-22 00:37:56
2150,28,15,7,1.947004,119.0,0,5,2,4,39,10750,2026-07-22 02:31:08
2200,25,22,3,1.950363,119.3,0,2,4,4,40,11000,2026-07-22 04:09:17
2250,21,21,8,1.935028,115.0,2,3,3,4,38,11250,2026-07-22 05:53:11
2300,19,25,6,1.923456,119.6,1,0,5,7,37,11500,2026-07-22 07:46:42
2350,26,21,3,1.926902,111.3,1,5,2,3,39,11750,2026-07-22 09:24:11
2400,18,20,12,1.927559,114.4,0,4,4,3,39,12000,2026-07-22 11:08:00
2450,27,19,4,1.927924,111.9,0,4,4,7,35,12250,2026-07-22 12:51:59
2500,19,21,10,1.917510,132.2,0,0,2,4,44,12500,2026-07-22 14:51:36
2550,23,21,6,1.914618,127.1,0,1,2,4,43,12750,2026-07-22 16:47:15
2600,20,25,5,1.904786,117.4,2,0,4,8,36,13000,2026-07-22 18:35:52
2650,18,25,7,1.895182,118.6,2,2,1,6,39,13250,2026-07-22 20:30:16
2700,16,26,8,1.915806,118.4,0,1,6,6,37,13500,2026-07-22 22:19:02
2750,24,23,3,1.900399,118.4,0,2,5,5,38,13750,2026-07-23 00:12:09
2800,21,20,9,1.890487,118.3,2,2,2,0,44,14000,2026-07-23 01:55:30
2850,19,26,5,1.899804,123.1,0,0,8,2,40,14250,2026-07-23 03:55:36
2900,23,22,5,1.889702,118.3,1,3,4,2,40,14500,2026-07-23 05:44:27
2950,31,17,2,1.888860,108.4,2,4,3,5,36,14750,2026-07-23 07:23:51
3000,19,21,10,1.885973,120.5,2,2,4,3,39,15000,2026-07-23 09:21:38
3050,22,23,5,1.883893,131.9,0,2,1,2,45,15250,2026-07-23 11:29:53
3100,20,27,3,1.880718,119.1,1,3,3,5,38,15500,2026-07-23 13:15:29
3150,20,24,6,1.869817,107.0,0,4,8,6,32,15750,2026-07-23 14:58:11
3200,18,26,6,1.877321,111.7,1,3,4,6,36,16000,2026-07-23 16:44:25
3250,22,22,6,1.870070,119.7,0,2,2,7,39,16250,2026-07-23 18:36:51
