game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,23,0,0,27,0
100,25,0,1,24,0
150,21,0,1,25,3
200,21,0,3,26,0
250,26,0,2,22,0
300,15,0,2,32,1
350,16,0,6,25,3
400,23,0,0,26,1
450,14,0,0,32,4
500,19,0,2,27,2
550,18,0,0,31,1
600,20,0,1,27,2
650,18,0,0,31,1
700,18,0,2,28,2
750,20,0,1,27,2
800,21,0,0,28,1
850,21,0,0,26,3
900,26,0,0,22,2
950,22,0,1,27,0
1000,21,0,0,26,3
1050,2,0,0,0,0
1100,8,0,0,10,0
1150,17,0,0,20,0
1200,17,0,1,30,2
1250,18,0,0,30,2
1300,7,0,1,0,2
1350,22,0,0,26,2
1400,17,0,1,31,1
1450,27,0,0,22,1
1500,18,0,3,28,1
1550,26,0,0,23,1
1600,23,0,0,24,3
1650,22,0,0,28,0
1700,23,0,0,25,2
1750,28,0,0,22,0
1800,24,0,1,22,3
1850,19,0,0,27,4
1900,25,0,0,24,1
1950,21,0,0,28,1
2000,23,0,0,24,3
2050,23,0,0,26,1
2100,20,0,0,28,2
2150,18,0,0,30,2
2200,23,0,0,25,2
2250,29,0,0,17,4
2300,20,0,0,29,1
2350,27,0,0,22,1
2400,21,0,0,22,7
2450,25,0,0,22,3
2500,16,0,0,31,3
2550,17,0,0,29,4
2600,21,0,0,27,2
2650,21,0,0,24,5
2700,23,0,0,26,1
2750,22,0,0,27,1
2800,23,0,0,23,4
2850,20,0,0,29,1
2900,22,0,0,28,0
2950,29,0,0,20,1
3000,22,0,0,25,3
3050,16,0,0,31,3
3100,21,0,0,28,1
3150,26,0,0,22,2
3200,25,0,0,21,4
3250,23,0,0,24,3
