game,outcome,end_reason,n_moves,loss,steps,timestamp,moves
1,W,value_resign,31,0.244630,5,2026-08-25 11:37:07,g1f3 h7h6 h2h4 a7a5 h1g1 b7b6 e2e4 b8c6 d2d3 c8b7 e4e5 a8a7 c2c4 c6b4 b1d2 g8f6 a2a4 d7d6 f3d4 h8g8 c4c5 h6h5 c5c6 g7g6 d1b3 f6g4 c6b7 g4f6 f2f4 c7c5 a1b1
2,W,value_resign,33,0.187782,10,2026-08-25 11:37:40,b2b3 h7h6 h2h4 e7e6 d2d3 c7c6 c2c4 g8f6 c4c5 f6e4 a2a4 e8e7 g1h3 e6e5 d3e4 d8a5 b3b4 a5b4 c1d2 b8a6 g2g4 a6b8 d2b4 d7d6 d1d6 e7e8 b1a3 f7f5 d6g6 e8d8 a1c1 f5g4 h1g1
3,W,value_resign,48,0.196721,15,2026-08-25 11:41:54,b1a3 f7f5 d2d4 e7e6 g1f3 e8f7 a3c4 a7a6 g2g4 b7b6 f3e5 f7e8 a1b1 d7d6 c1g5 c7c5 g4f5 e6f5 h1g1 c5d4 g5d8 c8b7 a2a4 e8d8 g1g4 f5g4 e5g4 g7g5 c4b6 h7h6 b6a8 h6h5 d1d4 h5g4 e2e3 b8c6 d4g4 d8e7 g4d1 h8h2 c2c4 e7d7 b2b4 g8e7 c4c5 c6a5 e1e2 d6d5
4,B,value_resign,50,0.241174,20,2026-08-25 11:42:29,b1c3 g7g5 a2a4 c7c5 g2g4 e7e5 c3d5 d8f6 g1h3 c5c4 d5c7 e8d8 b2b3 g8h6 c7a8 f8c5 f2f3 b8c6 f1g2 b7b6 h1g1 c8b7 e2e4 c5b4 e1f2 h6g4 f2g3 g4e3 a4a5 e3d1 a8c7 b6b5 g1d1 d8c7 b3c4 d7d5 c4d5 c6a5 c2c4 b5c4 a1a5 h8g8 c1b2 b4a5 h3f4 g5f4 g3f2 g8f8 d1f1 c7b8
5,B,value_resign,56,0.209472,25,2026-08-25 11:44:15,g2g4 d7d5 g1h3 h7h6 c2c4 h6h5 b2b4 e7e6 a2a4 b7b6 e2e4 b6b5 a4a5 h5g4 a1a3 g8f6 f2f3 h8h3 f3g4 f8b4 c4c5 f6g4 f1g2 d5d4 a3h3 g4e3 d1f3 f7f6 e4e5 b4a3 c1a3 e3g2 e1f2 d4d3 f3a8 c8b7 a8b7 b5b4 b7e4 b4a3 e5f6 g7g5 f2g2 d8f6 e4e5 f6e5 c5c6 g5g4 h3h5 e5h5 g2g3 b8c6 b1a3 c6b4 a3c4 e8d7
6,W,value_resign,57,0.234987,30,2026-08-25 11:44:34,e2e4 e7e5 b1a3 g8h6 d1f3 c7c6 e1e2 g7g5 g1h3 g5g4 c2c3 d7d6 f3g3 h8g8 b2b3 g4h3 g2h3 c6c5 c3c4 g8g6 a1b1 b8c6 b1a1 f8g7 a3b5 a8b8 a2a4 c8f5 e4f5 e5e4 f5g6 c6d4 e2e3 d6d5 c4d5 d4b3 d2d4 c5d4 e3e2 h6f5 g6f7 e8f7 g3b3 b8c8 b3b1 f7g6 h1g1 f5g3 e2e1 a7a6 b5d4 c8c6 d5c6 d8f6 f1g2 b7c6 b1b2
7,B,value_resign,66,0.218255,35,2026-08-25 11:47:12,b2b3 h7h6 e2e3 g7g5 c2c3 c7c6 c3c4 f7f6 c4c5 h6h5 f2f3 g8h6 a2a3 f8g7 c1b2 h8f8 g2g4 d7d5 g1h3 e7e5 e3e4 e8f7 b1c3 h5g4 f1d3 b7b6 c3d5 h6g8 c5b6 d8e8 d5e3 a7b6 a1b1 c6c5 e3g4 c8g4 f3g4 f7g6 h3g5 f6g5 h2h4 b8a6 h4g5 a8b8 d3a6 b6b5 h1h2 g8e7 a3a4 b5a4 a6c4 a4b3 b2e5 g7e5 h2h1 e5d4 b1b3 b8b3 d1b3 g6g5 b3f3 f8f3 e1e2 g5f4 g4g5 e7g6
8,W,value_resign,67,0.174475,40,2026-08-25 11:47:30,a2a4 d7d5 b1c3 e7e5 g2g3 g7g5 c3d5 b7b6 f2f4 b8c6 c2c4 b6b5 f4g5 c6d4 a4a5 b5c4 e2e3 e5e4 e3d4 f8d6 h2h3 f7f6 d5c3 c8a6 a1a2 f6g5 g1e2 e4e3 a2a4 h7h6 c3e4 h8h7 d2d3 d8d7 a4c4 h7f7 c1e3 a6c4 e4d6 d7d6 d3c4 d6d7 h1h2 f7f8 d1d2 g5g4 e2c3 g4h3 h2h3 a8b8 c3d5 f8f7 e3h6 g8h6 h3h4 f7f8 f1h3 f8f5 h3f5 h6f5 d5b6 f5g3 b6d7 e8d7 d2c2 c7c6 h4g4
9,B,material_adjudication,75,0.206497,45,2026-08-25 11:49:53,b2b3 c7c6 e2e3 f7f6 c2c3 e7e5 f2f3 d7d5 c3c4 e8e7 f3f4 d8a5 h2h3 c8f5 f4e5 f6e5 e1f2 e5e4 h1h2 f5g6 c4d5 e7e8 d5c6 b8c6 g2g3 g8f6 g1f3 a5d8 f3g5 c6b4 g5f7 e8f7 c1a3 f8c5 a3b4 c5b4 g3g4 b4c5 f2e1 f7e7 d1c2 b7b5 c2c5 e7e6 c5c2 f6h5 b1c3 b5b4 c3e2 d8h4 h2f2 e6d5 c2c4 d5d6 c4e4 g6e4 g4h5 e4c2 e3e4 g7g5 a2a4 b4a3 a1b1 h8b8 b1c1 h4h5 c1c2 a7a6 f2f3 h5f3 f1g2 f3g2 e2c3 g5g4 h3g4
10,W,material_adjudication_moderate,76,0.273910,50,2026-08-25 11:50:12,b2b4 c7c6 a2a4 f7f5 a4a5 h7h5 e2e4 g8h6 e1e2 b7b5 c2c4 d7d6 a5a6 e8d7 d2d4 b5c4 c1g5 h8h7 b1d2 d8c7 b4b5 c6b5 g1f3 g7g6 h2h3 c8a6 a1b1 b8c6 b1c1 a8b8 e4e5 c6d4 f3d4 h6g4 d4b5 b8b5 e5d6 e7d6 h3g4 c4c3 d1a4 c3d2 c1c7 d7c7 g5d2 h5g4 a4a6 h7h1 a6b5 f8g7 f2f4 h1h2 e2e1 g7d4 g2g3 h2d2 e1d2 d4b2 b5a5 c7c6 f1d3 a7a6 a5a6 c6c7 a6c4 c7d7 c4b5 d7c7 d2d1 b2d4 b5a4 d4c3 a4b3 c3a5 b3g8 d6d5
