game,moves
52,e2e4 g7g5 g1e2 d7d5 e4e5 c8g4 h1g1 g8h6 f2f3 h8g8 f3g4 b8c6
53,c2c4 g7g5 f2f4 g5g4 b1a3 a7a5 a1b1 h7h5 e1f2 g8h6 h2h4 b8c6
54,b2b3 c7c6 c2c3 e7e6 f2f3 g7g5 g1h3 f7f5 c3c4 b7b6 e2e3 a7a6
55,g1f3 b7b5 h2h3 g7g5 d2d3 e7e6 b2b4 e8e7 h1g1 g5g4 b1a3 d7d5
56,b2b3 h7h6 c2c3 c7c6 e2e3 d7d6 c3c4 f7f5 f2f4 h6h5 b3b4 e8d7
57,b2b3 h7h6 e2e4 e7e6 f2f3 d7d6 e4e5 d6e5 c2c3 e8e7 g2g4 a7a5
58,b2b3 b8c6 h2h3 e7e5 f2f4 c6e7 e2e3 d7d6 h1h2 e7f5 b1a3 b7b5
59,b2b3 h7h6 c2c4 d7d6 e2e3 h6h5 g2g3 b7b6 d2d4 b8c6 f2f4 c8g4
60,a2a4 e7e6 f2f3 d7d5 b2b3 e6e5 c1b2 c7c6 f3f4 b8d7 e2e4 f8b4
61,g1f3 f7f5 f3e5 g7g5 e2e3 g8f6 a2a4 a7a5 e1e2 b7b5 b1c3 g5g4
62,h2h4 g8f6 g1f3 b8c6 b2b4 d7d6 g2g3 e7e6 e2e4 c6e7 b1c3 e8d7
63,b2b3 c7c6 e2e3 d7d5 f1d3 d8c7 c2c4 c8g4 d3c2 g8h6 g1f3 e8d7
64,g1f3 h7h6 d2d3 a7a5 a2a4 b8c6 f3e5 f7f5 e5f3 c6b4 c1d2 c7c6
65,g1f3 h7h6 f3g1 a7a5 e2e4 g8f6 d2d4 a8a7 b1a3 d7d6 f1d3 c8g4
66,b2b3 b7b6 e2e3 a7a6 c2c3 a8a7 f1e2 c7c6 e2c4 h7h6 c4d5 f7f5
67,b2b4 b8c6 a2a4 f7f6 c2c3 d7d5 b4b5 g7g5 d2d3 c6d4 c3d4 a8b8
68,g1f3 f7f5 h2h3 e8f7 g2g3 h7h5 d2d3 b8c6 c1f4 g8f6 f4c7 c6a5
69,g1f3 h7h6 d2d3 a7a5 c1d2 e7e5 e2e4 e8e7 b1c3 c7c5 g2g4 g7g6
70,b2b3 h7h6 c2c4 f7f5 b3b4 h6h5 g2g4 c7c5 a2a3 d7d5 a1a2 c8e6
71,a2a3 e7e6 b2b3 g7g5 c1b2 f8d6 b2h8 e6e5 a3a4 b8c6 f2f3 f7f5
72,e2e4 g7g5 b1c3 g5g4 g1e2 d7d5 b2b4 c8d7 c3d5 f7f5 d5c7 d8c7
73,b2b3 a7a5 f2f3 b7b6 f3f4 f7f6 c2c3 c7c6 d2d4 a5a4 e1f2 g7g5
74,b2b3 h7h6 a2a3 f7f5 c2c4 c7c6 h2h3 a7a6 f2f4 d8a5 e2e3 a5b5
75,b2b3 h7h6 f2f3 c7c6 c2c3 d7d6 e2e3 g7g5 g1e2 e8d7 e1f2 f7f5
76,b2b3 h7h6 f2f3 c7c6 b3b4 f7f5 f3f4 b7b6 c2c4 a7a6 e2e4 h8h7
77,g1f3 h7h6 d2d3 a7a5 c2c3 a8a6 e2e3 d7d6 b2b4 a6c6 d3d4 c8d7
78,g2g3 g8f6 b2b4 b7b5 e2e3 d7d5 b1c3 f6e4 g1e2 e7e5 h1g1 c7c6
79,g1f3 g7g5 b2b3 b7b6 a2a4 a7a5 b1c3 f7f6 g2g4 c7c6 c3b5 f8g7
80,g2g4 a7a5 a2a3 b8c6 b1c3 b7b6 b2b3 f7f5 f2f4 a5a4 g1f3 c8b7
81,g2g4 b7b6 g4g5 g7g6 e2e4 e7e5 c2c4 b8a6 b2b3 a8b8 h2h3 f8e7
82,c2c3 g7g5 f2f3 b8a6 b2b3 h7h6 c3c4 b7b6 h2h3 a6b8 a2a3 e7e6
83,b2b3 h7h6 c2c3 c7c6 f2f3 d7d5 f3f4 c8d7 e2e3 f7f6 c3c4 h6h5
84,h2h4 d7d5 d2d4 f7f6 e2e3 c7c5 a2a3 c5c4 h4h5 d8d7 a1a2 f6f5
85,b2b3 h7h6 c2c4 e7e5 f2f4 c7c6 e2e4 e5f4 h2h3 f7f6 b1c3 c6c5
86,g2g3 a7a5 f2f3 f7f5 d2d4 d7d6 c2c4 c8d7 c1g5 g7g6 d4d5 g8f6
87,b2b3 f7f6 d2d4 g7g5 b1d2 e7e5 c2c4 f8g7 e2e3 c7c5 d4c5 g5g4
88,g1f3 h7h6 c2c3 a7a5 b2b3 g8f6 e2e3 a8a6 c1b2 a6c6 f3g1 f6d5
89,a2a4 d7d5 b1c3 c8d7 a4a5 d5d4 e2e4 f7f5 e1e2 b7b6 c3b5 b8c6
90,e2e4 g7g5 f1a6 g8f6 a6d3 d7d5 e4e5 c8d7 c2c3 f6h5 f2f3 h5f4
91,g2g3 d7d5 g1f3 b7b6 g3g4 a7a5 c2c4 a8a6 g4g5 a6a7 e2e3 c8e6
92,g1f3 d7d6 a2a4 c8d7 h2h3 h7h6 d2d4 b7b6 f3d2 h6h5 d2c4 a7a5
93,e2e4 g7g5 g1e2 h7h6 g2g4 d7d5 e2g1 c8g4 e4e5 g4d1 c2c3 e7e6
94,b2b3 h7h6 c2c4 b8a6 g1f3 a6b8 f3g1 b8a6 f2f3 g7g6 g2g4 a8b8
95,h2h3 b8c6 b2b3 c6a5 g1f3 g7g5 f3g5 a8b8 g5h7 d7d6 c2c4 b7b5
96,e2e4 g7g5 g1e2 h7h6 b1c3 d7d5 c3d5 e8d7 b2b4 g8f6 a2a3 f6g4
97,b2b3 a7a5 e2e3 c7c5 c2c4 a8a7 e1e2 d7d6 g2g3 g7g5 d2d4 g8h6
98,b2b3 h7h6 c2c4 e7e5 g2g4 a7a5 g1h3 a8a6 c4c5 d7d5 e2e3 b8d7
99,b2b3 g8f6 g2g4 d7d5 f1g2 c8g4 e2e4 g4d1 g1f3 d5e4 h1g1 b7b5
100,g1f3 d7d5 b2b3 f7f6 b3b4 c7c6 f3g5 b7b5 g2g4 f6f5 c2c4 f5g4
101,b2b3 a7a5 f2f3 e7e5 c2c3 e8e7 c3c4 h7h6 g2g3 f7f5 b1c3 b8c6
102,b2b4 g7g5 b1c3 a7a6 h2h3 f7f5 a1b1 e7e5 d2d3 a8a7 c1g5 c7c6
103,b2b3 g7g6 c2c4 f7f6 d2d4 h7h5 g1h3 c7c6 e2e3 g8h6 d1d2 e8f7
104,b2b3 a7a5 f2f3 e7e5 b1a3 e8e7 g2g3 b8a6 a3b5 d7d5 b5c3 c7c5
105,g1f3 a7a5 b1c3 h7h6 h2h4 d7d6 e2e3 a8a7 f1d3 e7e6 c3b5 b8c6
106,g2g3 g8f6 g1f3 h7h6 c2c3 h8g8 e2e3 a7a5 e1e2 a8a7 f1g2 a5a4
107,g1f3 e7e6 d2d3 h7h5 f3d2 f7f5 e2e3 e6e5 h1g1 b8c6 e3e4 g7g6
108,b2b3 d7d5 e2e3 d5d4 g2g3 g8h6 g1h3 c8e6 e3e4 f7f5 d2d3 f5e4
109,g1f3 b7b5 f3h4 a7a6 b1c3 e7e6 a1b1 e8e7 b2b3 d7d5 c1b2 e7e8
