game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,33,16,1,0.183106,53.5,1,13,19,12,5,250,2026-08-25 12:23:30
100,22,28,0,0.180647,59.3,1,10,15,18,6,500,2026-08-25 13:16:58
150,30,18,2,0.211906,55.6,2,13,17,12,6,750,2026-08-25 13:58:02
200,25,25,0,0.248466,56.7,2,9,16,16,7,1000,2026-08-25 14:42:20
250,25,24,1,0.280854,58.0,2,8,19,13,8,1250,2026-08-25 15:26:25
300,25,25,0,0.300663,55.5,2,9,18,18,3,1500,2026-08-25 16:03:52
350,12,11,0,0.345097,41.0,3,10,7,3,0,1750,2026-08-25 16:50:08
400,27,23,0,0.365481,61.0,2,5,19,16,8,2000,2026-08-25 17:56:05
450,29,21,0,0.401272,56.5,3,12,16,10,9,2250,2026-08-25 18:50:03
500,31,19,0,0.427770,53.8,2,13,19,8,8,2500,2026-08-25 19:43:50
550,18,20,0,0.448414,47.9,3,11,16,6,2,2750,2026-08-26 01:56:34
600,31,18,1,0.468919,60.2,0,14,11,17,8,3000,2026-08-26 02:52:12
650,29,20,1,0.494195,56.0,2,10,22,8,8,3250,2026-08-26 03:33:29
700,29,20,1,0.508924,61.2,2,10,13,14,11,3500,2026-08-26 04:15:15
750,29,21,0,0.534901,59.0,6,7,14,10,13,3750,2026-08-26 04:58:04
800,26,24,0,0.559037,55.6,1,13,14,17,5,4000,2026-08-26 05:36:07
850,21,28,1,0.579035,55.3,2,12,16,15,5,4250,2026-08-26 06:17:24
900,24,25,1,0.589100,53.8,2,15,17,9,7,4500,2026-08-26 06:52:22
950,20,30,0,0.609028,54.7,2,6,24,14,4,4750,2026-08-26 07:33:30
1000,22,25,3,0.620645,67.0,1,8,12,19,10,5000,2026-08-26 08:22:52
1050,25,25,0,0.667479,60.3,0,10,16,17,7,5250,2026-08-26 09:06:33
1100,4,4,0,0.663564,43.4,1,3,2,2,0,5500,2026-08-27 01:02:17
1150,24,26,0,0.687760,59.2,0,12,19,8,11,5750,2026-08-27 01:43:53
1200,32,16,2,0.716574,60.2,1,8,15,18,8,6000,2026-08-27 02:22:02
1250,25,25,0,0.710556,54.6,1,11,21,13,4,6250,2026-08-27 03:00:22
1300,28,22,0,0.732354,56.8,1,10,17,17,5,6500,2026-08-27 03:38:22
1350,23,27,0,0.746748,54.3,3,12,20,7,8,6750,2026-08-27 04:18:08
1400,25,24,1,0.774706,60.3,1,11,17,12,9,7000,2026-08-27 05:00:38
1450,26,22,2,0.769518,58.9,4,8,17,11,10,7250,2026-08-27 05:44:27
1500,25,24,1,0.797381,60.2,2,10,16,13,9,7500,2026-08-27 06:23:44
1550,22,27,1,0.818612,67.3,0,9,13,15,13,7750,2026-08-27 07:16:38
1600,25,25,0,0.844572,60.9,3,11,12,13,11,8000,2026-08-27 08:00:26
1650,12,5,0,0.857662,53.2,2,4,5,3,3,8235,2026-08-27 08:52:08
1700,17,31,2,0.859417,56.9,3,10,19,13,5,8485,2026-08-27 09:31:23
1750,25,25,0,0.852288,58.8,1,13,11,16,9,8735,2026-08-27 10:11:35
