game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,8,0,35,0,1
100,5,0,43,0,0
150,6,0,39,0,2
200,5,0,42,0,0
250,3,0,40,1,0
300,4,0,38,0,0
350,5,0,17,0,0
400,1,0,43,0,0
450,7,0,36,0,0
500,8,0,38,0,0
550,6,0,30,0,0
600,4,0,39,1,1
650,9,0,34,0,1
700,1,0,38,1,0
750,8,0,30,0,0
800,3,0,41,0,0
850,8,0,34,0,1
900,5,0,38,0,1
950,2,0,41,0,0
1000,6,0,32,3,0
1050,4,0,31,0,0
1100,0,0,8,0,0
1150,4,0,34,0,0
1200,4,0,37,0,2
1250,10,0,32,0,0
1300,3,0,37,0,0
1350,4,0,37,0,0
1400,5,0,33,1,0
1450,5,0,33,1,1
1500,5,0,30,0,1
1550,2,0,31,1,0
1600,9,0,26,1,0
1650,2,0,12,0,0
1700,3,0,36,1,1
1750,8,0,25,0,0
