game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,18,31,1,1.730511,75.9,0,5,3,24,18,250,2026-09-11 11:37:10
100,21,27,2,1.712167,80.8,1,2,4,23,20,500,2026-09-11 12:59:16
150,24,25,1,1.705906,84.8,0,1,1,21,27,750,2026-09-11 14:34:14
200,25,22,3,1.711830,78.9,1,5,2,23,19,1000,2026-09-11 15:36:55
250,24,25,1,1.711807,76.9,1,1,3,30,15,1250,2026-09-11 16:40:47
300,19,30,1,1.717475,78.0,0,3,7,16,24,1500,2026-09-11 17:51:19
350,26,22,2,1.705763,78.6,0,1,5,27,17,1750,2026-09-11 19:16:04
400,26,23,1,1.706154,76.5,3,3,5,19,20,2000,2026-09-11 20:47:01
450,28,21,1,1.706265,81.1,1,1,0,30,18,2250,2026-09-11 22:11:45
500,22,28,0,1.714946,75.6,1,4,3,24,18,2500,2026-09-11 23:43:49
550,27,22,1,1.706057,76.5,0,1,3,28,18,2750,2026-09-12 01:10:16
