game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,8,38,3,0,1
100,13,32,3,2,0
150,5,43,1,0,1
200,7,32,7,3,1
250,3,44,2,1,0
300,6,36,7,0,1
350,2,38,8,2,0
400,7,35,6,2,0
450,7,42,0,1,0
500,8,40,2,0,0
550,4,42,3,0,1
