game,avg_policy_loss,avg_value_loss,steps,timestamp
50,1.646826,0.083685,250,2026-09-11 11:37:10
100,1.637371,0.074797,500,2026-09-11 12:59:16
150,1.638371,0.067535,750,2026-09-11 14:34:14
200,1.642908,0.068922,1000,2026-09-11 15:36:55
250,1.647914,0.063893,1250,2026-09-11 16:40:47
300,1.648661,0.068815,1500,2026-09-11 17:51:19
350,1.642122,0.063642,1750,2026-09-11 19:16:04
400,1.641357,0.064797,2000,2026-09-11 20:47:01
450,1.641336,0.064930,2250,2026-09-11 22:11:45
500,1.649339,0.065607,2500,2026-09-11 23:43:49
550,1.643520,0.062536,2750,2026-09-12 01:10:16
