game,moves
1,e2e3 a7a5 b1a3 a5a4 f1d3 d7d6 c2c3 e8d7 h2h3 e7e6 b2b4 f7f5
2,g1f3 e7e5 b2b4 f8d6 b1a3 b7b5 c2c3 a7a5 d1a4 a5b4 a4a8 e5e4
3,f2f4 b8a6 c2c4 h7h5 g2g4 b7b5 c4b5 d7d5 g1f3 a8b8 f3g5 b8b5
4,h2h4 b8a6 c2c4 h7h5 b2b3 d7d6 c1b2 a6b8 d1c1 a7a5 b2d4 g7g5
5,a2a3 a7a5 a3a4 h7h6 h2h3 c7c5 c2c4 b7b6 b2b4 a5b4 f2f4 f7f5
6,h2h4 b7b6 b2b3 h7h5 h1h3 g7g6 h3h2 h8h6 h2h3 f8g7 d2d4 g7f8
7,e2e3 a7a5 h2h3 a5a4 a2a3 e7e5 b2b3 a8a7 d2d3 d8e7 b3a4 d7d5
8,d2d3 d7d5 f2f4 e8d7 f4f5 a7a5 b2b3 a5a4 c1a3 g7g6 g1h3 f7f6
9,h2h4 b8a6 h4h5 g8f6 d2d3 a6c5 c2c3 a7a5 d1b3 f6h5 f2f3 c5b3
10,e2e3 g7g5 d1h5 g8f6 g2g3 f6h5 g1h3 h8g8 e1e2 f7f5 b2b3 e8f7
11,d2d3 d7d5 d1d2 e8d7 g1f3 f7f6 b1a3 c7c6 a1b1 a7a5 d2c3 g7g5
12,a2a3 a7a5 a3a4 h7h6 g1h3 g8f6 b2b4 g7g5 e2e3 d7d5 b4a5 c8g4
13,a2a3 b7b6 c2c4 g8f6 d2d3 b8a6 h2h4 f6e4 h4h5 c7c5 f2f4 d7d6
14,d2d3 d7d5 f2f4 e8d7 f4f5 a7a6 d1d2 f7f6 g1f3 g7g5 a2a3 b7b5
15,a2a3 b7b6 e2e3 e7e5 d2d3 d8h4 h2h3 a7a6 g2g3 h4h6 e3e4 d7d6
16,a2a3 h7h6 e2e4 b8c6 b2b4 h6h5 f2f4 h5h4 f1d3 c6d4 g1f3 b7b5
17,a2a3 g8f6 h2h4 f6g8 h1h3 h7h5 e2e4 b7b5 a3a4 a7a5 g2g3 f7f5
18,e2e3 g7g5 d1h5 g8f6 h5e2 b8a6 e3e4 c7c6 f2f3 b7b5 g2g3 b5b4
19,h2h4 g8h6 a2a3 b7b6 g2g4 f7f5 a3a4 e8f7 f2f4 h6g8 g4f5 b8a6
20,h2h4 h7h5 a2a4 a7a5 b2b4 c7c5 d2d4 c5c4 d4d5 a8a7 g2g3 b8c6
21,a2a3 c7c5 a3a4 h7h5 b1c3 b8a6 b2b3 d7d6 a4a5 a6c7 d2d3 h8h6
22,e2e4 f7f6 d1h5 g7g6 h5e2 d7d5 g2g4 c8g4 b2b3 g4e2 g1e2 g6g5
23,b1a3 a7a5 f2f3 b7b5 e2e3 b5b4 a3b1 e7e6 e3e4 g7g5 b2b3 f8e7
24,e2e3 g7g6 d2d3 g6g5 e3e4 d7d5 b2b3 d8d7 c2c3 e7e5 c1d2 h7h5
25,f2f4 e7e6 c2c4 a7a5 h2h4 f8e7 h4h5 d7d6 g2g4 a5a4 f1h3 b7b6
26,h2h4 b7b6 b2b3 h7h5 f2f4 c8b7 e1f2 a7a5 a2a4 h8h7 c1b2 d7d5
27,e2e4 b8c6 g2g4 g8h6 d1e2 h6g4 a2a4 a7a6 g1f3 g4e3 b2b4 e3c2
28,b1a3 e7e6 e2e4 h7h6 e4e5 g8f6 d1e2 f6e4 a3b1 g7g5 f2f3 f7f6
29,e2e4 f7f6 d1h5 g7g6 h5e2 b7b5 b2b4 a7a5 f2f3 a5b4 b1a3 g8h6
30,h2h4 b7b6 b2b3 h7h5 h1h2 g7g6 g2g3 d7d5 f2f4 f8g7 f1g2 e8f8
31,a2a3 g8f6 h2h4 b8a6 b2b4 h7h5 h1h3 f6g4 c2c3 a6b8 g2g3 g7g6
32,d2d3 e7e5 b2b3 g7g5 h2h4 d7d6 h4g5 b8d7 f2f3 d8e7 a2a3 d6d5
33,e2e3 e7e5 g1e2 b8c6 b1c3 g7g5 e3e4 c6e7 a2a4 d7d6 c3b5 c8g4
