game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus
50,21,27,2,6.264059,76.3,3,8,7,11,21
100,24,18,8,6.528795,87.5,0,5,12,10,23
150,24,18,8,6.139741,87.2,0,5,7,12,26
200,23,24,3,5.879235,89.6,2,0,6,13,29
250,22,22,6,5.749539,87.4,1,2,10,9,28
300,25,22,3,5.605239,75.4,3,4,10,14,19
350,22,24,4,5.515091,74.7,2,6,12,6,24
400,20,22,8,5.437360,88.6,2,6,6,9,27
450,21,23,6,5.394924,89.1,0,7,5,8,30
500,20,22,8,5.346384,94.4,1,2,7,8,32
550,20,25,5,5.305825,81.1,4,7,5,10,24
600,22,23,5,5.238282,85.5,2,6,9,7,26
650,29,15,6,5.120998,76.2,3,7,8,11,21
700,18,26,6,5.051546,82.2,2,6,5,18,19
750,20,22,8,4.967219,87.4,1,10,5,8,26
800,21,20,9,4.905522,87.8,1,7,10,7,25
850,14,25,11,4.833057,85.7,3,8,8,7,24
900,20,21,9,4.791841,80.0,6,8,8,4,24
950,26,17,7,4.669517,80.2,1,6,13,8,22
1000,20,22,8,4.643982,85.4,4,6,9,5,26
1050,22,21,7,4.594275,79.8,2,9,9,8,22
1100,16,27,7,4.518527,73.6,3,9,13,6,19
1150,17,27,6,4.493048,80.4,5,6,9,7,23
1200,25,23,2,4.363616,60.7,5,17,8,5,15
1250,24,22,4,4.377332,74.5,5,7,11,6,21
1300,23,20,7,4.326269,73.9,7,7,9,9,18
1350,18,19,13,4.298385,90.2,3,6,8,5,28
1400,24,21,5,4.208323,64.8,5,15,7,8,15
1450,14,29,7,4.202356,74.3,5,12,8,5,20
1500,23,18,9,4.175462,82.0,3,10,8,7,22
1550,23,21,6,4.210014,68.8,3,9,15,7,16
1600,23,21,6,4.138610,73.2,4,10,13,6,17
1650,23,21,6,4.086991,65.1,7,14,9,4,16
1700,27,18,5,4.083789,68.5,3,11,11,10,15
1750,21,23,6,4.061491,59.0,10,17,5,4,14
1800,21,21,8,4.046292,75.4,6,12,6,4,22
1850,19,25,6,4.033756,70.5,6,11,9,4,20
1900,20,22,8,4.035985,74.8,10,6,7,6,21
1950,21,20,9,4.023860,72.0,5,11,8,10,16
2000,23,20,7,4.030767,65.7,7,13,6,10,14
2050,22,20,8,4.001447,68.9,9,12,5,4,20
2100,23,25,2,3.963389,57.4,10,15,5,4,16
2150,15,29,6,3.951873,66.3,7,12,11,4,16
2200,25,20,5,3.945934,59.4,9,11,12,8,10
2250,17,24,9,3.915502,63.1,9,11,11,6,13
2300,26,20,4,3.912251,68.4,7,8,11,8,16
2350,21,23,6,3.892594,66.6,5,15,9,4,17
2400,25,21,4,3.895845,59.3,11,15,4,4,16
2450,22,22,6,3.891350,68.4,8,11,7,9,15
2500,19,22,9,3.907749,75.1,7,11,10,2,20
2550,19,25,6,3.864844,61.3,5,17,11,5,12
2600,20,25,5,3.839172,61.3,9,13,8,7,13
2650,19,25,6,3.841820,57.9,12,11,10,5,12
2700,21,24,5,3.825995,58.3,8,16,5,9,12
2750,21,23,6,3.867866,57.6,13,15,6,3,13
2800,22,24,4,3.810524,60.4,7,15,9,7,12
2850,21,22,7,3.829786,62.5,13,13,7,0,17
2900,23,21,6,3.792396,58.7,13,9,12,3,13
2950,27,19,4,3.787663,48.0,15,14,9,4,8
3000,25,21,4,3.777727,55.5,13,8,10,8,11
3050,19,28,3,3.789021,53.8,8,18,12,1,11
3100,22,19,9,3.801367,62.2,13,14,4,5,14
3150,19,21,10,3.784166,61.3,15,8,8,6,13
3200,16,31,3,3.768826,57.2,8,15,9,7,11
3250,28,18,4,3.784703,61.9,11,10,8,4,17
3300,18,23,9,3.774989,77.6,5,11,9,5,20
3350,26,21,3,3.786942,44.7,14,17,6,6,7
3400,22,22,6,3.720399,59.0,12,12,5,8,13
3450,21,24,5,3.741588,57.5,9,17,7,4,13
3500,19,29,2,3.728052,49.7,14,12,10,4,10
3550,23,24,3,3.728557,52.3,14,14,6,4,12
3600,22,25,3,3.674541,39.0,23,13,6,2,6
3650,26,21,3,3.674539,44.8,17,17,4,5,7
3700,27,19,4,3.658231,44.8,16,16,6,3,9
3750,28,16,6,3.695707,52.4,17,13,3,4,13
3800,26,19,5,3.640493,49.4,14,15,8,3,10
3850,21,24,5,3.617342,58.1,15,11,6,4,14
3900,20,25,5,3.636586,53.6,18,8,7,5,12
3950,25,20,5,3.633935,52.9,18,10,5,5,12
4000,12,32,6,3.646239,51.7,16,19,4,0,11
4050,22,22,6,3.595648,49.3,13,17,7,5,8
4100,19,26,5,3.594084,49.9,15,17,4,2,12
4150,26,22,2,3.593080,41.0,18,13,10,3,6
4200,23,25,2,3.575121,48.1,11,16,10,3,10
4250,24,20,6,3.603064,43.9,15,21,6,0,8
4300,28,15,7,3.574466,59.5,15,12,4,5,14
4350,21,25,4,3.567495,49.5,19,13,3,2,13
4400,26,20,4,3.580826,47.1,16,19,3,4,8
4450,23,24,3,3.551198,43.7,18,15,7,1,9
4500,21,23,6,3.552052,55.7,11,14,9,5,11
4550,21,22,7,3.545844,53.3,16,17,0,5,12
4600,22,26,2,3.543447,36.5,19,16,9,2,4
4650,24,21,5,3.533987,48.2,21,13,3,2,11
4700,21,28,1,3.514527,41.9,20,10,9,4,7
4750,24,19,7,3.480757,47.6,19,11,8,4,8
4800,19,24,7,3.528401,49.4,19,13,6,2,10
4850,21,23,6,3.482470,48.6,17,16,3,4,10
4900,21,28,1,3.475466,38.5,18,19,6,1,6
4950,19,26,5,3.472915,43.8,20,14,7,0,9
5000,26,22,2,3.484125,47.9,20,9,7,5,9
