game,moves
52,g2g4 c7c5 e2e3 b8a6 e1e2 d7d5 g1h3 g7g5 c2c3 f7f6 a2a4 e7e5
53,g2g4 c7c5 b1a3 g7g5 a1b1 e7e5 b2b4 e8e7 d2d4 d8c7 b4c5 b7b6
54,g2g4 h7h6 b1a3 g8f6 f1h3 f6h7 e2e4 g7g6 h3g2 b8c6 e1e2 f8g7
55,g2g4 b8a6 b1a3 a8b8 f1g2 g8h6 e1f1 d7d5 b2b3 h8g8 e2e3 e7e5
56,e2e4 b7b6 a2a3 e7e5 b2b4 c7c5 a1a2 g7g5 d2d4 a7a5 g2g4 d8c7
57,e2e3 g7g5 e1e2 f7f5 d1e1 a7a5 a2a3 d7d6 b2b4 e7e5 c1b2 d8e7
58,f2f4 d7d5 a2a4 c7c6 c2c3 b7b5 e2e4 f7f6 e1f2 c8e6 g1h3 e8d7
59,g2g4 g7g5 a2a3 g8h6 a1a2 f7f6 b2b3 c7c6 f2f3 b7b6 c2c3 e8f7
60,g2g4 b7b5 g1f3 a7a5 d2d4 a8a7 d1d3 e7e5 f3d2 b8c6 h1g1 c6d4
61,e2e4 g7g5 a2a3 g8f6 c2c3 e7e5 a3a4 e8e7 e1e2 a7a5 a1a2 c7c5
62,e2e4 g7g5 d2d4 e7e5 f2f3 e8e7 e1f2 c7c5 d4d5 g8f6 b1d2 a7a6
63,b1a3 g7g6 a1b1 d7d5 b2b3 c7c6 a3c4 c8e6 d2d4 d8c7 c4d2 c7e5
64,a2a3 f7f6 e2e3 a7a5 f2f3 e8f7 e1f2 h7h5 f1d3 d7d5 g2g4 g7g6
65,g2g4 g7g5 a2a4 h7h5 c2c3 a7a6 h2h4 d7d6 f1g2 f7f6 b2b3 a8a7
66,e2e4 a7a6 a2a3 a8a7 a1a2 d7d5 c2c3 e7e5 e1e2 g8f6 e2f3 d5d4
67,c2c4 b7b5 d2d4 c7c5 h2h3 a7a5 c1h6 e7e5 e1d2 g8f6 e2e3 a8a7
68,c2c3 c7c5 c3c4 f7f6 d1c2 d8c7 f2f3 e8d8 e1f2 c7d6 a2a3 g7g6
69,e2e4 b8a6 f1a6 g7g5 a2a3 g5g4 d2d4 b7b6 a6c8 g4g3 c1e3 c7c6
70,g2g4 b8a6 b1a3 e7e5 a1b1 e8e7 d2d4 d8e8 g1h3 h7h6 f2f4 c7c6
71,b1a3 h7h6 b2b4 g7g5 f2f3 a7a5 c2c3 a8a6 e1f2 b8c6 b4b5 c6b4
72,e2e4 g7g5 c2c4 c7c5 b2b3 f7f5 f1e2 e7e5 e1f1 e8f7 d1e1 f8h6
73,e2e4 g7g5 d1g4 a7a5 b2b4 f8h6 f2f3 e8f8 h2h3 c7c5 c1b2 d7d6
74,g2g3 g7g5 b1a3 e7e5 f2f3 e8e7 e2e4 d7d6 d2d4 f7f6 b2b4 e5d4
75,g2g3 g7g5 a2a4 a7a5 f2f3 a8a6 b1c3 d7d6 e1f2 g8f6 e2e3 c7c6
76,g2g4 a7a5 b1a3 b7b5 f2f3 a8a6 b2b3 c7c6 c2c3 g7g5 g1h3 c6c5
77,g2g4 g7g5 a2a3 c7c5 e2e4 b7b6 a1a2 b6b5 h2h3 e7e6 d2d4 h7h6
78,b2b3 e7e5 b1a3 e5e4 g1f3 b8a6 g2g3 a6c5 a3c4 d8g5 f1g2 c7c6
79,b2b3 g7g5 b1a3 a7a5 a1b1 b7b6 g2g4 e7e5 b1a1 c8a6 c2c3 f7f5
80,e2e4 h7h6 a2a3 g7g5 a1a2 e7e5 d2d4 c7c5 g1e2 d7d5 a2a1 e8e7
81,f2f3 a7a5 e1f2 g7g6 c2c3 d7d5 b2b3 b8c6 g1h3 f8g7 f2e3 e8f8
82,b2b3 g7g5 a2a3 b7b6 a1a2 c7c5 d2d4 f7f6 d4c5 e7e5 f2f4 c8a6
83,e2e3 g7g5 b1a3 c7c5 g1h3 f7f6 a1b1 h7h6 f2f3 e8f7 e1e2 b7b6
84,b2b3 f7f6 a2a4 e7e5 a1a2 d7d6 c1b2 c7c5 g2g4 a7a5 f2f3 g7g5
85,g2g4 g7g5 f2f3 e7e5 d2d3 d7d6 b2b4 a7a5 c1a3 a8a7 d3d4 a5b4
86,c2c3 b8a6 h2h3 e7e5 e2e3 d7d5 g2g4 c7c5 e1e2 d8g5 h1h2 e8e7
87,e2e4 g7g5 b1c3 a7a5 d1e2 a8a7 c3b1 c7c6 a2a3 b7b6 a1a2 c8b7
88,f2f3 g7g5 a2a3 c7c6 g1h3 a7a5 g2g4 g8h6 e2e4 a8a7 f3f4 f7f5
89,f2f3 g7g5 g2g3 f7f6 a2a4 c7c5 g1h3 e7e5 a1a3 e8e7 f1g2 d8c7
90,b1a3 f7f6 a1b1 e8f7 e2e3 a7a5 g2g4 g7g5 f1c4 e7e6 f2f4 f8c5
91,b1c3 g7g6 g2g4 a7a5 d2d4 e7e5 a1b1 c7c6 a2a3 d7d6 d4e5 f7f6
92,e2e4 a7a5 b1a3 a8a7 e1e2 a7a8 g1h3 g7g5 c2c3 c7c6 g2g4 e7e5
93,c2c3 c7c5 a2a3 e7e6 a1a2 e8e7 e2e4 g8f6 f2f3 d7d6 g2g4 d6d5
