game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
50,8,0,0,2,0
100,12,0,7,3,0
150,2,0,9,1,0
200,7,0,5,4,1
250,16,0,9,2,0
300,11,0,11,1,1
350,7,0,6,1,1
400,8,0,14,1,0
450,7,0,8,1,0
500,6,0,9,2,0
550,11,0,7,2,0
600,1,0,4,0,0
650,8,0,9,1,0
700,11,0,10,4,2
750,4,0,6,3,0
800,9,0,6,1,0
850,3,0,11,1,0
900,15,0,9,1,0
950,7,0,7,1,2
1000,7,0,10,2,3
1050,10,0,8,2,0
1100,5,0,6,4,1
1150,10,0,8,2,1
1200,8,0,12,1,0
1250,5,0,9,3,0
1300,8,0,2,3,0
1350,10,0,3,3,1
1400,7,0,6,4,2
1450,9,0,5,5,2
1500,4,0,3,3,1
1550,2,0,11,4,1
1600,2,0,2,0,0
1650,11,0,11,2,1
1700,9,0,7,3,0
1750,5,0,2,1,0
1800,7,0,6,4,1
1850,8,0,6,5,1
1900,5,0,3,1,1
1950,5,0,7,2,1
2000,5,0,8,3,1
2050,18,0,4,2,1
2100,4,0,7,5,2
2150,13,0,5,5,0
2200,6,0,4,4,0
2250,7,0,6,4,2
2300,4,0,4,2,0
2350,10,0,8,3,0
2400,8,0,4,2,2
2450,5,0,6,1,0
2500,14,0,1,2,0
2550,15,0,7,5,1
2600,7,0,5,3,0
2650,8,0,7,2,0
2700,10,0,4,2,0
