game,start,w_wins,b_move,missing_queen,timestamp
200,-0.0382,+0.9554,-0.9901,-0.0363,2026-08-08 04:20:59
400,+0.0117,+0.9706,-0.9795,+0.0103,2026-08-09 03:59:35
600,+0.0325,+0.9909,-0.9847,+0.0320,2026-08-10 01:50:34
800,+0.0362,+0.9927,-0.9938,+0.0318,2026-08-10 06:33:10
1000,+0.0028,+0.9960,-0.9996,-0.0071,2026-08-10 11:13:22
1200,-0.0084,+0.9932,-0.9958,-0.0103,2026-08-10 15:55:51
1400,+0.0055,+0.9919,-0.9971,+0.0051,2026-08-11 03:05:26
1600,+0.0152,+0.9978,-0.9974,+0.0149,2026-08-11 09:21:15
1800,-0.0035,+0.9883,-0.9524,-0.0041,2026-08-11 14:41:30
2000,-0.0001,+0.9885,-0.9908,-0.0074,2026-08-12 02:02:38
2200,+0.0156,+0.9983,-0.9952,+0.0156,2026-08-12 06:28:09
2400,+0.0246,+0.9791,-0.9476,+0.0249,2026-08-13 00:57:33
2600,+0.0334,+0.9836,-0.9811,+0.0298,2026-08-13 04:55:46
2800,-0.0026,+0.9939,-0.9934,-0.0003,2026-08-13 10:27:15
3000,+0.0596,+0.9842,-0.9764,+0.0592,2026-08-13 14:39:29
3200,+0.0193,+0.9949,-0.9913,+0.0185,2026-08-14 04:24:12
3400,+0.0269,+0.9966,-0.9936,+0.0186,2026-08-14 08:51:44
3600,+0.0109,+0.9922,-0.9910,-0.0041,2026-08-14 13:04:51
3800,+0.0510,+0.9924,-0.9906,+0.0509,2026-08-14 17:10:16
4000,+0.0359,+0.9981,-0.9970,+0.0321,2026-08-14 21:27:46
4200,+0.0047,+0.9869,-0.9857,+0.0049,2026-08-15 01:32:55
4400,+0.0506,+0.9974,-0.9950,+0.0576,2026-08-15 05:46:47
4600,+0.0723,+0.9828,-0.9754,+0.0739,2026-08-15 09:58:59
4800,+0.0479,+0.9867,-0.9803,+0.0520,2026-08-15 14:47:07
5000,+0.0531,+0.9859,-0.9690,+0.0557,2026-08-15 19:18:11
5200,+0.0223,+0.9975,-0.9886,+0.0225,2026-08-15 23:45:41
5400,+0.0151,+0.9857,-0.9886,+0.0261,2026-08-16 04:10:19
5600,+0.0543,+0.9898,-0.9937,+0.0566,2026-08-16 08:39:15
5800,+0.0182,+0.9821,-0.9812,+0.0182,2026-08-16 12:53:53
6000,+0.0131,+0.9789,-0.9818,+0.0124,2026-08-16 17:25:17
6200,+0.0165,+0.9927,-0.9820,+0.0158,2026-08-16 22:03:53
6400,-0.0118,+0.9950,-0.9933,-0.0136,2026-08-17 21:31:27
6600,+0.0055,+0.9881,-0.9884,+0.0056,2026-08-18 01:47:10
6800,+0.0081,+0.9917,-0.9917,+0.0081,2026-08-18 05:56:41
