game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,27,22,1,0.599817,82.4,1,3,1,24,21,250,2026-08-08 00:42:04
100,23,26,1,0.608566,79.8,0,2,6,23,19,500,2026-08-08 01:57:27
150,27,22,1,0.748895,82.9,0,1,4,23,22,750,2026-08-08 03:09:06
200,18,29,3,0.891427,81.5,0,2,5,23,20,1000,2026-08-08 04:20:58
250,23,25,2,0.979662,69.4,2,3,10,24,11,1250,2026-08-08 05:24:47
300,21,27,2,1.034612,77.1,3,1,10,17,19,1500,2026-08-08 06:34:55
350,24,25,1,1.068255,77.9,0,4,4,26,16,1750,2026-08-08 07:48:04
400,23,24,0,1.134566,74.8,1,4,8,15,19,2000,2026-08-09 03:59:34
450,23,27,0,1.174030,76.7,2,1,5,21,21,2250,2026-08-09 05:09:54
500,23,25,2,1.224183,76.9,1,6,4,23,16,2500,2026-08-09 06:15:46
550,28,22,0,1.244424,82.7,0,1,8,21,20,2750,2026-08-09 07:41:01
