game,checkmates,material_resigns,value_resigns,cap_draws,rule_draws
100,0,77,10,13,0
200,0,59,29,12,0
300,0,60,31,9,0
400,0,64,34,2,0
500,1,18,21,3,0
600,0,41,51,8,0
700,0,58,39,3,0
800,0,43,52,5,0
900,1,37,58,4,0
1000,1,54,40,5,0
1100,0,40,56,4,0
1200,0,50,47,3,0
1300,0,54,39,7,0
1400,1,59,35,5,0
1500,0,50,47,3,0
1600,0,47,45,8,0
1700,2,45,47,6,0
1800,0,60,38,2,0
1900,0,37,57,6,0
2000,0,54,44,2,0
2100,1,41,55,3,0
2200,0,40,58,2,0
2300,1,50,48,1,0
