game,moves
1,a2a3 g8f6 g2g3 h7h6 f2f3 g7g5 d2d4 b7b5 f3f4 b8a6 e1f2 f8g7
2,g2g3 b7b6 d2d3 c7c5 h2h4 d7d5 e1d2 c8f5 b1a3 f5c8 e2e3 b8a6
3,b1a3 d7d6 c2c4 g7g5 e2e4 h7h5 g2g3 b8a6 d1g4 b7b6 g4c8 h8h7
4,e2e4 b8a6 g1f3 c7c6 c2c3 a8b8 g2g3 b7b6 d1a4 d7d6 f3g1 h7h6
5,e2e3 g8f6 d2d3 c7c6 a2a4 g7g6 c2c3 d8a5 f2f3 a5c7 g2g3 f8g7
6,f2f3 d7d5 c2c3 f7f6 d2d4 e7e6 e2e3 f8e7 b2b3 b8d7 a2a3 b7b5
7,e2e4 d7d5 h2h3 c8g4 g2g3 b7b6 a2a4 b8a6 f1e2 e7e6 d2d3 c7c6
8,d2d3 g7g5 h2h3 g8f6 g1f3 e7e6 e1d2 c7c5 e2e3 b8a6 d2e1 e6e5
9,e2e4 d7d5 d2d3 g8f6 f2f3 f6g8 g1e2 c8f5 c2c3 d8d6 g2g3 h7h6
10,d2d3 d7d6 g2g3 b7b5 f2f3 f7f6 h2h3 b8a6 b2b3 g8h6 c1d2 c7c6
11,g1h3 g7g5 d2d3 d7d6 c2c3 g5g4 g2g3 b8a6 b1a3 e7e6 b2b3 b7b6
12,e2e4 d7d6 c2c3 g7g5 b1a3 b8a6 d2d3 c8g4 f2f3 h7h6 b2b3 c7c6
13,b1c3 f7f6 g2g3 a7a6 g1f3 g7g5 d2d3 b7b6 h1g1 d7d6 e2e3 f6f5
14,d2d3 d7d6 g1f3 b8a6 h2h3 b7b6 e2e4 h7h6 h1h2 c8b7 c1d2 c7c6
15,f2f4 h7h6 g2g4 c7c6 e1f2 f7f5 f2f3 b7b6 a2a4 d7d5 b2b3 e8d7
16,g1h3 g7g5 d2d3 f7f5 e1d2 h7h6 f2f3 e7e5 e2e3 d7d6 g2g4 d8e7
17,e2e4 d7d6 b1c3 b8c6 f2f3 g8h6 f3f4 b7b5 d2d3 e8d7 h2h3 c8b7
18,d2d3 a7a6 h2h3 h7h6 e2e3 b7b6 g1f3 f7f6 c2c3 e8f7 g2g3 c7c5
19,h2h3 f7f5 f2f3 b7b5 e2e4 f5e4 b2b3 a7a6 d2d4 b8c6 c2c3 g7g6
20,e2e3 d7d5 f1b5 b8c6 d2d3 g7g6 g1e2 h7h6 c2c3 b7b6 f2f3 f7f5
21,c2c3 d7d5 d1b3 b8a6 g2g3 b7b5 f2f3 h7h6 e2e3 g7g5 f1g2 h8h7
22,c2c3 g7g6 e2e3 b7b5 d2d3 d7d6 f2f3 b8a6 g2g3 f8g7 f1g2 h7h6
23,d2d3 d7d6 g1f3 a7a6 e2e3 h7h6 b2b3 b7b6 c2c3 c7c6 g2g3 c8d7
24,d2d3 f7f5 g1h3 b8c6 e2e3 h7h6 b1a3 b7b5 a3b5 g7g6 g2g3 h8h7
25,d2d3 b7b6 c1g5 d7d5 e2e3 f7f5 c2c3 g8f6 f2f3 h7h5 b1a3 c8a6
26,e2e3 a7a6 g1f3 g8f6 c2c3 e7e5 d2d3 c7c6 b2b4 a8a7 c1b2 d8b6
27,b1c3 e7e5 e2e3 f7f5 d2d3 f8e7 f1e2 g7g5 g1f3 d7d5 g2g3 b7b6
28,g1h3 d7d6 h3g5 b8c6 d2d3 b7b5 e2e3 e7e6 b1a3 e6e5 g5h3 d6d5
29,e2e4 d7d5 e4d5 a7a6 d2d3 b8d7 g1f3 a8b8 f1e2 c7c5 c2c3 d8b6
30,b2b4 d7d6 c2c3 b7b5 e2e3 b8a6 d2d3 c8f5 g1h3 e7e6 c1d2 e8e7
31,e2e3 b8c6 f2f3 g7g5 b2b4 f7f6 d2d3 h7h6 c2c3 d7d5 b1a3 b7b5
32,d2d4 h7h6 e2e3 d7d5 b1d2 b8a6 e3e4 b7b5 g1f3 c8g4 b2b3 f7f6
33,e2e4 b7b6 c2c3 d7d5 d2d3 c8d7 g2g3 b8a6 f2f3 e7e6 h2h3 f8e7
34,e2e4 f7f6 d2d4 d7d6 c2c3 d6d5 g1h3 g7g5 a2a4 c8h3 b1a3 b8a6
35,d2d3 d7d5 e2e4 h7h5 g1f3 b8a6 h2h3 b7b6 c2c3 c8b7 h1h2 d8d7
36,e2e3 d7d6 d2d3 a7a6 c2c3 d6d5 g1e2 a6a5 h2h3 a8a6 f2f3 a6d6
37,e2e4 f7f6 b2b3 e7e6 d2d3 d7d5 f2f3 b7b5 b3b4 b8d7 g2g3 e8e7
38,h2h3 e7e6 d2d3 d7d6 c2c3 b7b6 e2e3 e8d7 b1a3 h7h6 g2g3 f8e7
39,d2d3 d7d5 c2c3 a7a6 b1a3 b8d7 e2e3 h7h5 f2f3 b7b6 d1c2 a8b8
40,h2h3 f7f6 d2d3 d7d5 c2c3 b8a6 g1f3 b7b6 c1d2 b6b5 e2e4 h7h6
41,d2d3 d7d5 c1g5 b8a6 b1a3 b7b5 f2f4 h7h6 e2e3 f7f6 h2h3 c8d7
42,g1f3 d7d5 d2d3 b7b5 a2a3 c8e6 g2g3 a7a6 h2h3 d8d7 h3h4 d7c8
43,e2e4 d7d5 d2d3 c7c6 c2c3 f7f5 g1h3 h7h6 b1a3 b7b5 g2g3 g7g6
44,h2h3 d7d6 c2c3 c8d7 d2d3 f7f6 b1a3 g7g6 f2f3 h7h6 g2g3 d6d5
45,h2h4 b8a6 f2f4 b7b5 d2d3 d7d6 b1a3 h7h6 c2c3 d6d5 a3b5 f7f6
