game,start,w_wins,b_move,missing_queen,timestamp
200,+0.0166,+0.9891,-0.9737,-0.9659,2026-09-04 04:09:04
400,+0.0477,+0.9851,-0.9696,-0.9643,2026-09-04 07:25:38
600,+0.0349,+0.9905,-0.9830,-0.5675,2026-09-04 11:30:27
800,+0.0419,+0.9742,-0.9937,-0.8803,2026-09-04 16:09:25
1000,+0.0735,+0.9622,-0.9976,-0.7839,2026-09-04 22:11:49
1200,-0.0118,+0.9901,-0.9914,-0.9555,2026-09-05 02:22:17
1400,+0.0296,+0.9938,-0.9772,-0.8054,2026-09-05 06:06:10
1600,+0.0784,+0.9955,-0.9992,-0.9998,2026-09-07 04:47:12
1800,+0.0471,+0.9829,-0.9809,-0.8589,2026-09-07 08:18:11
2000,+0.1626,+0.9945,-0.9807,-0.9701,2026-09-07 13:21:39
2200,+0.0211,+0.9894,-0.9754,-0.9769,2026-09-07 18:17:08
2400,+0.0256,+0.9927,-0.9909,-0.9824,2026-09-07 22:48:24
2600,+0.0233,+0.9958,-0.9860,-0.9975,2026-09-08 02:46:56
2800,+0.0101,+0.9778,-0.9887,-0.9672,2026-09-08 06:51:00
3000,-0.0330,+0.9838,-0.9911,-0.8748,2026-09-08 10:47:53
3200,-0.0142,+0.9911,-0.9866,-0.9553,2026-09-08 14:44:45
3400,-0.0106,+0.9834,-0.9837,-0.9327,2026-09-10 09:39:03
3600,-0.0284,+0.9834,-0.9876,-0.9673,2026-09-10 13:21:54
