game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus,steps,timestamp
50,20,30,0,0.978633,65.5,2,7,12,15,14,250,2026-09-04 01:49:04
100,30,20,0,0.997559,65.8,0,9,12,18,11,500,2026-09-04 02:31:43
150,26,22,2,0.997539,66.2,1,5,17,16,11,750,2026-09-04 03:19:39
200,25,24,1,1.023752,64.6,0,11,12,16,11,1000,2026-09-04 04:09:03
250,26,24,0,1.018061,63.1,3,9,13,11,14,1250,2026-09-04 04:53:18
300,24,25,1,1.048230,71.3,0,5,12,16,17,1500,2026-09-04 05:43:37
350,25,23,2,1.058425,66.0,2,13,3,19,13,1750,2026-09-04 06:33:54
400,29,21,0,1.071487,68.1,1,6,11,20,12,2000,2026-09-04 07:25:37
450,20,28,2,1.096524,75.2,1,4,8,17,20,2250,2026-09-04 08:18:21
500,16,32,2,1.110499,72.8,1,6,6,19,18,2500,2026-09-04 09:15:35
550,28,22,0,1.113675,72.8,0,4,9,19,18,2750,2026-09-04 10:15:13
600,32,18,0,1.128354,68.0,1,7,7,20,15,3000,2026-09-04 11:30:26
650,21,28,1,1.153137,73.7,1,4,6,24,15,3250,2026-09-04 12:38:15
700,19,30,1,1.146760,73.8,1,2,10,22,15,3500,2026-09-04 13:30:32
750,33,16,1,1.167365,72.9,0,5,7,24,14,3750,2026-09-04 14:41:23
800,28,21,1,1.180046,72.2,1,6,4,25,14,4000,2026-09-04 16:09:25
850,28,22,0,1.186067,70.4,1,5,8,21,15,4250,2026-09-04 17:25:47
900,23,25,2,1.212435,76.5,0,5,9,17,19,4500,2026-09-04 18:58:00
950,32,18,0,1.246678,82.0,0,1,6,22,21,4750,2026-09-04 20:42:42
1000,17,33,0,1.269902,73.3,2,4,8,19,17,5000,2026-09-04 22:11:48
1050,13,19,1,1.280693,68.2,0,5,4,18,6,5250,2026-09-04 23:50:21
1100,28,22,0,1.289656,65.4,0,5,15,21,9,5500,2026-09-05 00:38:57
1150,21,29,0,1.287196,66.3,2,9,7,19,13,5750,2026-09-05 01:28:44
1200,23,27,0,1.285735,71.3,0,7,6,23,14,6000,2026-09-05 02:22:16
1250,28,21,1,1.307725,73.2,0,2,11,20,17,6250,2026-09-05 03:15:22
1300,24,25,1,1.328849,72.0,1,4,6,22,17,6500,2026-09-05 04:08:17
1350,25,25,0,1.350053,73.1,2,5,8,18,17,6750,2026-09-05 05:06:30
1400,26,24,0,1.383690,74.9,0,4,7,20,19,7000,2026-09-05 06:06:10
1450,31,18,1,1.409283,78.6,2,2,2,25,19,7250,2026-09-05 07:06:42
1500,26,23,1,1.447806,72.5,2,2,11,23,12,7500,2026-09-05 07:57:43
