game,outcome,end_reason,n_moves,loss,steps,timestamp,moves
1,B,checkmate,6,1.022010,5,2026-09-04 00:52:39,h2h3 e7e5 f2f4 d8h4 g2g3 h4g3
2,B,checkmate,18,0.973830,10,2026-09-04 00:54:47,h2h3 h7h5 b2b4 b8a6 b1a3 b7b5 c2c4 d7d5 a3b1 h5h4 f2f3 a6b8 b1c3 d8d6 c3d5 b8a6 a1b1 d6g3
3,B,value_resign,24,1.020903,15,2026-09-04 00:55:57,d2d3 a7a6 e2e4 b7b6 b1a3 d7d6 c1f4 f7f6 g1e2 a6a5 a3b5 g7g5 b2b4 a5b4 h1g1 g5f4 g2g3 b8c6 d1b1 h7h5 g1h1 c8a6 g3f4 e8f7
4,W,value_resign,35,1.051817,20,2026-09-04 00:58:12,e2e4 f7f6 b2b3 a7a5 d1h5 g7g6 h5e2 c7c5 d2d4 a8a6 g2g4 a6a8 f1h3 a8a6 e2b5 g8h6 b5f1 a5a4 d4c5 a4b3 c2b3 d7d5 c5d6 f6f5 b1d2 b7b6 g4g5 c8b7 d6e7 f5e4 e7d8q e8d8 g5h6 b8c6 g1e2
5,B,value_resign,38,0.942924,25,2026-09-04 00:58:52,e2e4 b8c6 g2g4 g8h6 a2a4 b7b6 f1b5 g7g6 b5c6 d7c6 b2b3 f7f6 d1e2 a7a5 c1b2 e8d7 h2h3 c8b7 b1c3 f6f5 g4g5 h6f7 e1f1 f5e4 f2f4 e4f3 e2f3 f7g5 f3f2 f8h6 f2f7 g5f7 h3h4 e7e5 g1f3 g6g5 h4g5 h6g7
6,B,value_resign,52,1.000957,30,2026-09-04 01:02:01,e2e3 a7a5 f1b5 h7h5 g2g3 c7c5 d1e2 b8c6 f2f3 a8b8 b1a3 h5h4 g3h4 c6d4 e3d4 d8c7 b5d3 c5d4 h4h5 a5a4 b2b4 a4b3 a2b3 d7d5 a1b1 e7e5 d3b5 c8d7 a3c4 d5c4 h2h4 d7b5 b3c4 b5c4 b1b6 c7b6 e2c4 b6d8 h1h3 b8a8 c1a3 g7g6 h5g6 f7g6 a3b2 f8g7 b2d4 e5d4 e1e2 e8d7 f3f4 a8a6
7,W,value_resign,55,0.852190,35,2026-09-04 01:02:44,e2e3 a7a5 e1e2 h7h5 e3e4 f7f5 d2d3 d7d6 c1g5 b8c6 c2c3 b7b6 b2b4 e8f7 g5d2 g7g5 b4b5 f8h6 g1h3 c6e5 h1g1 d8f8 d3d4 g8f6 d4e5 d6e5 d2g5 c7c5 b5c6 h6g5 h3g5 f7g8 f2f4 f5e4 b1d2 a8b8 d2e4 c8g4 g5f3 f6e4 d1c2 e4c3 c2c3 f8g7 f4e5 b8f8 a2a3 g7g6 g1h1 g6c6 c3c6 f8f3 g2f3 g4f3 e2f3
8,B,value_resign,56,0.922947,40,2026-09-04 01:02:59,h2h4 b7b6 c2c3 e7e6 b1a3 f7f6 c3c4 d7d5 h4h5 g8e7 f2f4 a7a5 a3b5 e8d7 a1b1 c7c6 c4d5 e6d5 g1f3 c6b5 a2a4 g7g6 g2g4 b8c6 f3g5 d7e8 a4b5 c8b7 g5e4 a5a4 b5c6 e7c6 h1g1 g6h5 d2d4 c6a5 e4c5 b6c5 g4h5 c5d4 e1f2 f8d6 b2b4 a4b3 f4f5 d8c7 b1b3 e8d7 d1d4 a5b3 f1g2 b3c1 g1h1 b7c8 g2f3 h7h6
9,B,material_adjudication,66,0.985134,45,2026-09-04 01:05:21,c2c4 a7a5 h2h4 b7b5 a2a4 f7f5 c4c5 h7h6 f2f4 c8b7 h1h2 a8a6 g1h3 a6a8 h2h1 b8a6 b2b4 a8c8 g2g3 h6h5 b1c3 a5b4 d2d4 b4c3 f1g2 c8a8 e1f1 d7d6 h1g1 d6c5 d4c5 a6c5 a4b5 a8a1 g2b7 g8f6 c1a3 e8f7 d1a1 c5b7 a1c3 e7e5 c3c4 f7e8 f4e5 f8a3 e5f6 g7f6 f1g2 e8f8 c4c3 a3c5 c3c5 b7c5 g1h1 d8d7 h1g1 f8e7 b5b6 c7c6 h3g5 c5b3 e2e3 c6c5 g1h1 c5c4
10,B,value_resign,52,1.059702,50,2026-09-04 01:06:20,h2h4 b7b6 b2b3 c7c6 c1b2 c6c5 e2e4 h7h5 f1e2 h8h6 g1f3 f7f5 h1h2 b8c6 e4e5 a7a5 e5e6 c8b7 b2e5 c6d4 e2c4 d8c8 b1a3 a5a4 a1c1 g7g5 d2d3 d7d6 c4b5 d4b5 h4g5 b5a3 g5h6 d6e5 h2h5 g8h6 h5h6 f8h6 c2c3 b7a6 d1c2 f5f4 b3a4 a8b8 c1d1 b8a8 e1d2 a3c2 d2c1 a8b8 c3c4 b8b7
