game,start,w_wins,b_move,missing_queen,timestamp
200,+0.1087,+0.9891,-0.9873,+0.0959,2026-07-10 07:37:34
400,+0.0482,+0.9734,-0.9912,+0.0439,2026-07-10 14:05:52
600,-0.0199,+0.9873,-0.9949,-0.0200,2026-07-13 09:28:41
800,+0.0296,+0.9848,-0.9944,+0.0307,2026-07-13 16:33:19
1000,-0.0711,+0.9797,-0.9915,-0.0618,2026-07-15 05:26:31
1200,+0.0113,+0.9853,-0.9940,+0.0089,2026-07-16 13:23:17
